,1,2,3,4,5,6,7,8,9,10
0,135,15,188,114,451,277,78,214,224,477
1,153,563,25,281,293,496,395,532,326,493
2,409,543,390,547,483,33,92,137,277,80
3,182,562,567,322,169,248,542,291,303,285
4,421,414,116,452,13,157,297,261,488,376
5,64,88,434,420,181,147,458,10,504,406
6,477,348,287,156,279,241,444,86,164,65
7,419,415,417,81,252,13,299,208,85,139
8,126,309,350,170,423,126,86,317,345,110
9,180,60,374,143,139,314,255,114,542,160
10,423,55,144,87,157,256,94,339,399,124
11,265,112,313,113,376,48,553,156,452,219
12,300,507,466,83,89,161,530,518,492,368
13,443,357,532,473,107,497,439,409,78,528
14,42,327,19,63,164,211,549,355,508,346
15,289,6,314,478,429,382,531,469,536,392
16,268,190,544,162,567,244,227,98,263,193
17,101,39,80,40,281,336,400,477,59,314
18,442,27,280,417,99,8,182,529,87,367
19,548,74,5,264,485,548,122,71,18,481
20,225,117,103,529,378,466,380,66,63,76
21,440,268,121,334,394,136,310,130,159,418
22,286,252,541,128,277,526,211,64,314,329
23,49,227,43,1,49,61,56,566,494,525
24,123,380,81,256,38,22,201,97,305,171
25,227,118,488,395,101,546,364,502,370,546
26,455,289,467,60,249,100,103,250,462,524
27,204,447,239,6,324,348,459,556,176,100
28,281,125,365,151,550,208,259,15,423,320
29,378,259,76,119,414,532,460,22,46,257
30,280,159,205,368,24,25,430,188,431,239
31,195,389,412,500,202,57,468,533,270,275
32,196,140,21,70,272,490,54,279,490,31
33,44,368,400,21,201,172,474,79,360,433
34,510,59,13,84,566,199,440,241,354,465
35,248,360,66,145,268,501,397,410,295,434
36,8,514,272,543,195,97,263,545,130,43
37,563,93,406,423,560,285,111,333,58,561
38,438,126,538,212,538,269,213,465,56,201
39,360,383,299,290,377,395,347,368,28,22
40,25,8,500,55,153,471,351,475,381,385
41,110,154,220,328,492,139,494,209,548,146
42,188,182,50,25,484,86,51,289,21,369
43,224,92,69,459,111,278,30,340,394,263
44,53,310,114,96,263,197,53,476,429,128
45,155,448,381,494,385,201,199,327,321,61
46,132,100,383,282,25,271,150,380,550,412
47,150,403,139,403,452,408,161,538,251,249
48,264,284,133,38,354,168,390,81,100,448
49,20,290,26,351,191,67,241,391,178,184
50,541,347,534,544,257,288,566,361,160,539
51,460,481,539,342,505,281,160,305,535,472
52,267,294,559,134,316,163,547,550,561,230
53,193,213,37,542,238,66,445,116,260,523
54,127,407,195,157,200,160,46,406,325,355
55,124,129,496,490,527,554,246,80,272,292
56,415,278,27,3,5,525,319,6,101,349
57,57,58,94,517,245,333,155,433,22,423
58,52,36,461,102,170,47,523,141,71,492
59,205,280,104,366,321,81,352,474,267,234
60,43,336,168,450,220,32,243,359,307,351
61,502,255,317,136,436,503,47,245,108,371
62,435,189,346,561,147,58,147,239,246,337
63,244,489,136,326,481,176,63,217,162,361
64,37,298,359,346,427,239,411,31,449,251
65,35,260,264,192,441,463,435,499,17,547
66,359,557,250,428,296,442,524,568,282,559
67,192,359,507,34,52,229,139,436,519,323
68,154,533,529,442,2,514,220,134,359,509
69,509,388,240,501,297,480,559,13,115,165
70,100,109,111,10,53,280,244,26,237,56
71,525,318,128,441,130,83,104,376,75,516
72,529,370,367,214,489,156,368,128,546,310
73,299,505,351,363,98,322,359,504,302,172
74,549,335,307,385,535,536,124,39,124,127
75,41,412,196,101,60,119,436,337,44,318
76,341,300,206,554,32,215,274,478,113,245
77,55,132,508,548,228,328,410,220,409,117
78,332,308,268,404,71,367,188,325,486,97
79,249,541,341,487,1,424,311,400,219,221
80,278,526,246,349,343,236,567,345,484,280
81,496,243,523,316,196,568,369,237,247,115
82,96,184,179,491,403,261,425,41,93,122
83,458,559,245,324,444,34,518,185,289,520
84,59,525,226,360,462,326,552,59,10,562
85,47,332,378,537,211,56,298,354,109,238
86,426,122,431,168,45,397,25,243,337,324
87,521,393,353,234,455,193,330,3,3,182
88,542,566,442,472,4,185,306,197,320,72
89,518,548,300,408,148,210,239,370,103,104
90,424,471,565,98,144,88,116,83,377,12
91,375,549,16,219,41,317,267,456,352,308
92,65,296,375,206,516,257,73,67,221,451
93,468,198,260,20,536,512,334,63,433,514
94,245,123,278,386,290,315,31,149,427,169
95,21,139,404,67,142,243,438,494,208,187
96,446,340,189,299,43,10,3,561,500,52
97,463,443,339,307,122,319,16,270,481,365
98,398,44,536,26,559,481,194,382,509,105
99,103,397,320,427,383,69,479,435,238,166
100,191,322,10,16,209,170,264,212,189,240
101,115,493,87,173,508,273,272,152,131,549
102,321,4,110,123,0,250,88,232,332,148
103,157,62,509,127,58,528,175,131,264,9
104,148,400,308,226,424,148,148,20,89,192
105,457,329,85,58,70,178,336,293,112,398
106,307,203,543,48,198,155,533,485,489,298
107,270,249,131,321,564,306,485,464,351,95
108,427,21,52,397,188,133,121,455,120,32
109,167,247,31,43,370,430,511,397,448,269
110,176,99,217,549,256,290,321,363,26,135
111,558,111,377,227,295,203,96,264,1,455
112,327,306,259,198,341,184,434,153,453,151
113,456,401,273,138,367,547,29,321,99,513
114,358,502,2,398,86,223,228,364,421,109
115,505,442,517,195,222,37,5,240,244,326
116,489,509,433,31,150,4,407,93,334,108
117,17,81,138,62,330,553,214,463,167,45
118,361,167,519,300,207,92,193,68,81,131
119,68,42,207,100,145,545,82,418,13,548
120,391,464,159,340,465,325,91,331,545,163
121,158,317,489,35,193,267,401,328,447,69
122,50,115,183,488,463,310,396,236,198,505
123,334,267,560,469,239,28,496,271,150,147
124,70,223,256,409,230,451,420,534,517,341
125,94,193,276,17,223,304,149,88,522,508
126,62,479,145,177,103,384,21,292,232,212
127,274,137,486,155,323,351,471,21,35,556
128,324,429,380,73,302,450,134,263,214,50
129,89,164,120,211,351,149,328,369,213,487
130,429,107,134,86,478,38,551,440,347,457
131,40,521,122,415,420,566,561,302,376,527
132,279,315,528,444,539,504,105,420,424,227
