,1
0,439
1,516
2,430
3,19
4,521
5,397
6,425
7,451
8,407
9,463
10,519
11,177
12,270
13,56
14,237
15,127
16,398
17,268
18,248
19,302
20,256
21,282
22,324
23,469
24,453
25,59
26,243
27,452
28,512
29,1
30,375
31,297
32,229
33,251
34,173
35,377
36,159
37,60
38,313
39,414
40,7
41,153
42,316
43,170
44,362
45,564
46,520
47,394
48,518
49,290
50,48
51,341
52,478
53,138
54,222
55,391
56,206
57,130
58,428
59,17
60,81
61,308
62,220
63,402
64,490
65,505
66,39
67,528
68,221
69,396
70,274
71,318
72,89
73,162
74,334
75,150
76,178
77,217
78,273
79,91
80,348
81,499
82,529
83,116
84,507
85,370
86,317
87,426
88,455
89,272
90,495
91,357
92,69
93,47
94,166
95,41
96,403
97,26
98,264
99,359
100,244
101,432
102,449
103,201
104,203
105,408
106,304
107,409
108,8
109,55
110,156
111,18
112,410
113,86
114,295
115,158
116,473
117,175
118,188
119,525
120,503
121,309
122,356
123,12
124,65
125,73
126,199
127,464
128,481
129,447
130,132
131,189
132,68
133,58
134,250
135,312
136,366
137,536
138,6
139,424
140,337
141,142
142,4
143,181
144,567
145,30
146,446
147,87
148,16
149,171
150,133
151,72
152,486
153,429
154,135
155,474
156,329
157,35
158,242
159,411
160,22
161,23
162,168
163,568
164,218
165,534
166,387
167,457
168,191
169,227
170,420
171,253
172,42
173,245
174,382
175,174
176,195
177,415
178,546
179,25
180,198
181,160
182,225
183,293
184,472
185,454
186,139
187,140
188,267
189,277
190,121
191,465
192,327
193,389
194,136
195,263
196,315
197,40
198,532
199,291
200,301
201,448
202,513
203,560
204,61
205,347
206,335
207,246
208,346
209,149
210,269
211,103
212,71
213,299
214,383
215,238
216,32
217,296
218,249
219,20
220,82
221,539
222,38
223,413
224,10
225,552
226,468
227,265
228,70
229,549
230,231
231,105
232,443
233,390
234,306
235,117
236,476
237,442
238,93
239,234
240,361
241,182
242,286
243,421
244,360
245,44
246,332
247,254
248,423
249,554
250,524
251,14
252,80
253,54
254,187
255,85
256,239
257,131
258,57
259,36
260,363
261,145
262,482
263,491
264,504
265,104
266,31
267,508
268,559
269,401
270,500
271,563
272,129
273,307
274,165
275,128
276,24
277,378
278,458
279,257
280,113
281,99
282,119
283,262
