,1,2,3,4,5,6,7,8,9,10
0,395,325,349,437,359,517,495,522,292,96
1,469,496,68,220,561,386,75,468,524,34
2,454,97,101,315,240,461,472,198,48,476
3,344,528,225,465,276,564,478,215,74,259
4,7,457,107,275,409,475,550,386,467,425
5,471,372,426,36,311,477,383,437,72,441
6,272,363,533,541,23,141,279,536,479,73
7,482,180,355,184,125,312,514,320,382,553
8,465,330,545,303,57,158,44,158,20,421
9,81,212,142,440,404,144,66,17,438,270
10,309,101,479,471,173,94,36,388,515,510
11,197,474,223,221,214,294,281,29,319,350
12,293,87,505,105,392,292,115,234,343,342
13,403,10,345,199,284,342,154,136,207,462
14,493,197,330,124,335,95,270,120,327,496
15,144,147,309,146,337,372,14,282,90,30
16,400,465,322,135,138,91,262,101,188,456
17,516,283,514,520,21,192,218,231,158,188
18,99,151,366,506,77,409,251,334,29,503
19,22,381,464,369,246,70,87,338,559,215
20,98,472,255,242,453,522,291,40,184,467
21,13,480,306,296,280,534,230,326,290,363
22,508,454,235,563,243,79,404,194,121,507
23,121,166,494,377,437,151,62,14,175,461
24,138,217,82,23,36,30,89,362,530,348
25,223,211,127,358,84,562,275,480,220,459
26,494,396,90,15,232,264,325,349,212,400
27,566,144,165,118,73,181,338,535,217,200
28,83,91,151,74,184,519,208,549,38,133
29,27,459,186,533,396,116,498,459,62,319
30,198,235,12,255,187,255,497,393,408,311
31,282,3,410,18,75,12,454,127,172,84
32,301,71,413,284,467,260,292,555,132,38
33,355,5,531,57,118,251,506,33,4,173
34,243,236,118,419,68,296,303,344,416,36
35,535,568,397,270,29,114,302,471,511,552
36,474,219,344,421,51,410,248,411,324,504
37,185,153,416,483,519,179,24,307,173,347
38,93,172,113,243,533,332,393,235,197,534
39,109,124,321,496,66,427,97,352,538,357
40,466,552,238,236,208,411,95,360,480,168
41,298,467,244,53,27,378,187,52,123,178
42,266,404,371,568,512,135,345,442,514,554
43,186,551,293,76,526,516,453,95,418,436
44,528,287,282,241,259,549,22,424,475,483
45,202,343,190,512,502,73,546,493,557,372
46,522,158,92,292,177,159,167,82,273,15
47,532,392,170,371,308,513,133,32,358,471
48,406,277,302,110,109,520,282,157,9,419
49,97,312,357,298,365,433,565,233,388,301
50,78,378,423,352,106,214,77,255,316,28
51,79,258,228,293,347,194,98,205,342,288
52,220,67,470,310,525,221,195,103,437,210
53,550,556,271,530,507,186,100,144,518,112
54,235,292,181,353,185,432,237,161,185,152
55,3,168,97,337,93,284,473,111,454,175
56,498,492,163,418,218,272,301,4,306,466
57,156,30,338,540,476,429,489,537,304,156
58,418,341,428,414,342,232,376,91,70,248
59,377,186,155,449,282,77,151,57,460,447
60,527,146,537,254,189,460,216,313,138,198
61,399,417,22,103,448,52,385,348,61,136
62,384,314,11,508,303,561,320,119,2,177
63,33,561,258,350,402,341,433,390,153,499
64,131,185,316,200,491,270,173,286,441,366
65,219,484,372,388,298,109,260,495,540,304
66,318,535,249,148,46,419,278,75,116,439
67,387,408,405,288,532,134,333,274,286,331
68,390,355,453,280,480,295,18,366,451,58
69,365,210,1,402,166,234,313,466,405,6
70,339,445,520,436,430,45,517,297,43,332
71,214,385,65,139,192,200,197,107,497,153
72,506,419,452,507,336,555,205,399,353,420
73,77,394,210,528,219,146,350,207,202,321
74,29,391,72,106,498,344,375,523,206,120
75,319,183,305,560,168,403,221,426,387,246
76,564,48,33,320,544,511,464,8,67,286
77,39,458,512,56,499,563,538,18,496,141
78,546,328,394,526,442,324,317,269,84,252
79,10,437,403,159,203,71,519,167,384,4
80,405,131,140,166,83,464,52,335,312,62
81,12,250,64,562,349,392,544,148,149,373
82,303,113,487,224,251,385,120,401,187,199
83,173,321,261,167,371,301,286,283,439,488
84,376,65,263,509,551,226,360,126,348,195
85,291,263,429,263,374,90,358,43,11,533
86,312,51,178,266,140,349,491,299,193,107
87,323,152,41,373,329,357,354,404,19,209
88,108,371,566,133,12,99,448,246,204,261
89,273,351,213,382,568,439,446,135,510,203
90,149,142,99,514,443,46,99,498,122,191
91,234,288,551,433,286,224,168,402,118,414
92,337,297,482,489,306,298,405,544,477,312
93,340,77,362,390,310,23,266,525,369,485
94,183,460,440,410,264,24,190,249,503,501
95,481,434,555,12,340,345,361,72,318,526
96,207,85,363,262,553,240,130,159,104,518
97,160,456,398,4,400,557,418,50,313,142
98,311,233,23,405,39,75,45,113,7,179
99,283,136,480,297,457,153,515,491,12,183
