,1
0,1161
1,578
2,553
3,1520
4,1474
5,838
6,1354
7,1153
8,219
9,940
10,522
11,1259
12,1502
13,1049
14,242
15,1495
16,1412
17,1443
18,929
19,981
20,953
21,1210
22,35
23,1523
24,980
25,1297
26,419
27,683
28,433
29,1180
30,1597
31,552
32,211
33,706
34,591
35,377
36,166
37,283
38,436
39,747
40,416
41,1186
42,1212
43,204
44,3
45,937
46,71
47,542
48,593
49,138
50,1280
51,139
52,312
53,804
54,1424
55,85
56,31
57,952
58,1276
59,849
60,655
61,703
62,1487
63,816
64,1571
65,388
66,509
67,217
68,273
69,203
70,789
71,352
72,1264
73,1390
74,760
75,736
76,993
77,1317
78,810
79,1147
80,1138
81,1340
82,19
83,1389
84,413
85,787
86,709
87,1572
88,1490
89,257
90,309
91,973
92,1139
93,1253
94,121
95,210
96,467
97,451
98,1214
99,1295
100,556
101,1208
102,53
103,750
104,1053
105,1555
106,1045
107,82
108,192
109,649
110,961
111,1222
112,359
113,641
114,69
115,1183
116,310
117,1209
118,1509
119,772
120,827
121,11
122,528
123,799
124,1569
125,1176
126,549
127,379
128,888
129,94
130,933
131,153
132,865
133,1449
134,280
135,1374
136,533
137,944
138,201
139,253
140,895
141,658
142,872
143,1585
144,1245
145,516
146,912
147,1410
148,1404
149,1330
150,589
151,924
152,657
153,689
154,442
155,861
156,1591
157,1299
158,1497
159,582
160,519
161,172
162,374
163,577
164,267
165,1521
166,10
167,101
168,954
169,1458
170,748
171,152
172,151
173,581
174,479
175,978
176,1015
177,1055
178,23
179,313
180,964
181,551
182,540
183,1510
184,228
185,1199
186,337
187,386
188,598
189,1286
190,905
191,389
192,859
193,277
194,1089
195,1189
196,1120
197,1262
198,571
199,295
200,735
201,547
202,411
203,1019
204,559
205,408
206,167
207,945
208,826
209,343
210,1218
211,392
212,1596
213,445
214,1446
215,1587
216,1384
217,385
218,272
219,456
220,114
221,1352
222,15
223,381
224,263
225,477
226,1181
227,252
228,801
229,1074
230,402
231,220
232,1031
233,1167
234,1454
235,349
236,1582
237,360
238,297
239,29
240,1056
241,123
242,1347
243,762
244,89
245,1452
246,597
247,1112
248,987
249,588
250,317
251,835
252,1143
253,1448
254,916
255,1226
256,73
257,612
258,80
259,1568
260,1453
261,687
262,97
263,4
264,1379
265,146
266,1503
267,1434
268,1119
269,691
270,484
271,1258
272,915
273,1160
274,1062
275,1488
276,1387
277,472
278,426
279,1343
