,1,2,3,4,5,6,7,8,9,10
0,1044,212,755,813,939,883,986,134,296,60
1,93,1197,20,354,1193,387,1507,180,1577,1047
2,279,1205,628,775,1527,189,785,448,1293,631
3,1518,486,660,58,1338,1548,1217,1118,52,152
4,1061,1364,501,593,625,914,1232,1092,1288,1040
5,1411,582,1003,430,835,1569,1279,372,1380,469
6,750,86,1114,392,1517,841,478,724,1448,1182
7,101,870,1194,1346,1143,1464,1350,727,1254,1407
8,1024,211,102,805,220,1197,1482,22,1109,481
9,722,1451,1587,272,64,1592,966,1494,233,402
10,1340,443,71,537,904,313,1428,88,1190,130
11,339,308,356,626,1236,1455,921,613,1395,682
12,1041,517,720,147,917,1409,782,218,855,1426
13,464,959,1017,488,1560,258,355,294,1523,821
14,616,684,164,1042,1493,54,384,1357,618,522
15,331,725,834,1235,571,392,872,1096,1564,974
16,319,500,1526,1155,1071,159,268,166,1182,504
17,99,383,990,1290,1405,851,1430,689,422,185
18,157,1588,837,1278,822,561,2,112,1354,145
19,554,737,1047,514,1556,683,1047,1230,123,490
20,355,170,222,1547,600,993,1589,806,260,196
21,344,121,770,1596,211,925,343,1503,883,1532
22,670,689,1372,80,417,1439,498,579,506,1345
23,1472,380,1214,5,1381,1036,1451,216,239,644
24,723,38,1095,826,55,1301,786,654,1215,853
25,772,248,708,490,1458,1286,892,733,214,202
26,1570,929,600,1500,301,1099,1501,1369,1061,1261
27,701,11,279,1063,1231,447,976,300,1186,154
28,650,479,1367,1097,451,610,43,1500,373,1076
29,52,845,898,1234,1437,1581,10,1114,1221,132
30,226,795,52,892,619,1023,1230,337,1271,941
31,906,696,500,1516,172,813,640,1420,34,190
32,1163,1000,1146,1401,682,1059,595,243,10,1219
33,486,1482,1518,999,130,597,182,1289,712,255
34,1412,327,1571,1111,1286,1257,265,926,1233,1379
35,1157,17,1004,613,72,818,1267,1170,1369,552
36,889,28,1421,159,673,80,560,66,869,64
37,1395,851,477,678,1206,1307,1292,299,799,1142
38,945,586,219,1370,1518,397,163,1441,590,734
39,262,1284,1399,933,356,59,521,1128,1074,351
40,232,518,1218,217,199,400,1277,423,531,1363
41,1483,692,673,1047,852,223,1382,1543,247,1341
42,1360,1298,1345,505,17,1438,1306,779,1013,1228
43,1174,1105,1119,1363,489,559,305,82,201,1274
44,1160,636,788,349,1072,425,988,151,1336,711
45,1275,504,301,383,1173,1209,429,1421,672,1193
46,1475,404,1515,1274,945,1488,794,568,863,322
47,410,223,1385,1419,950,435,229,333,1064,1546
48,1423,805,499,878,149,694,138,1534,223,843
49,1194,417,850,1385,1272,1355,952,189,181,1336
50,719,454,1159,1082,449,1110,397,354,1295,1502
51,408,1458,161,345,111,184,40,694,86,818
52,584,25,797,277,270,467,969,589,1145,648
53,1490,334,428,1539,1571,819,441,849,1569,76
54,982,164,54,636,1239,805,739,1060,1077,65
55,234,63,1183,353,281,71,91,1428,143,447
56,1305,140,1156,1431,84,1084,562,840,1234,58
57,1290,593,216,26,442,1496,1536,173,443,1137
58,316,608,1439,25,36,549,462,47,578,1054
59,1142,1270,903,569,1310,651,515,323,192,995
60,444,298,882,1490,1505,600,989,501,517,971
61,1166,13,476,307,1497,990,291,836,54,472
62,682,68,382,1240,1204,1227,862,914,371,1046
63,1451,900,1397,1483,521,1108,974,1133,1198,1296
64,1482,1276,262,1182,337,31,937,641,1146,1213
65,1520,1166,5,1472,1194,1213,1093,571,155,907
66,1101,1569,378,972,487,1384,1577,986,893,571
67,504,53,45,352,1375,1195,1086,420,119,1127
68,1334,1502,993,812,1142,1235,1301,828,736,882
69,1099,399,656,1073,579,1392,369,181,1158,319
70,228,1159,762,1266,435,1478,1169,1155,1500,1404
71,36,819,324,384,654,37,1120,1430,1555,1192
72,774,1266,360,288,234,1029,1316,456,962,151
73,1291,775,455,543,677,493,1473,1384,1581,404
74,825,1336,787,612,365,1456,529,845,804,1369
75,364,906,1287,928,99,1377,1109,642,1003,1355
76,429,96,1128,98,354,778,1288,301,707,1435
77,1143,1232,1256,1090,412,1516,374,789,837,541
78,49,260,1337,56,1585,811,1156,1411,1289,372
79,1337,180,616,242,1294,546,191,100,1232,1503
80,1416,899,308,1277,48,1273,336,1546,760,426
81,564,133,165,397,1474,1530,64,1019,1393,1102
82,985,390,517,1567,387,816,1308,775,990,1143
83,1431,1277,932,656,670,43,614,861,1273,1552
84,73,794,630,487,842,1333,1520,18,242,1
85,418,153,629,432,265,1334,1515,621,827,187
86,948,926,420,549,378,1107,527,1334,715,1305
87,88,1289,655,717,1423,514,1234,1355,1319,1496
88,910,1035,1204,322,986,971,193,809,1467,1358
89,1362,754,1582,181,773,1207,1518,197,868,1081
90,145,1094,736,388,905,569,1233,393,781,492
91,417,590,194,465,754,68,1261,683,20,1350
92,1456,1408,1499,690,576,858,503,687,1248,1529
93,827,771,101,978,475,759,1067,1379,637,661
94,422,988,620,743,1010,592,1246,933,297,1422
95,931,272,60,665,1496,717,866,1085,753,1480
96,1245,130,931,1216,1366,1380,144,1086,386,1015
97,1102,1129,712,1055,861,783,1205,771,548,1084
98,267,1056,885,318,1076,526,919,660,212,1041
99,212,284,1436,509,593,49,943,522,739,1495
100,588,1120,371,732,283,702,380,734,694,548
101,868,235,534,988,1460,8,279,1308,1088,696
102,1026,559,663,1428,13,305,1029,121,1403,1321
103,1040,1090,847,861,404,46,432,746,1526,1157
104,922,499,747,1137,731,1021,324,490,0,347
105,1381,798,1490,1306,828,1291,699,786,623,467
106,1461,356,981,1245,985,1330,567,429,570,496
107,612,1223,1160,633,1139,1535,1356,1475,1125,164
108,1523,880,914,1259,672,18,416,1329,1586,107
109,182,1061,128,1035,1300,489,1181,1217,1477,94
110,944,436,977,951,1092,1243,497,498,109,1175
111,138,895,491,279,1295,1157,159,80,150,590
112,1356,1031,423,439,711,65,470,1336,934,1283
113,154,233,693,261,278,434,92,971,541,540
114,1006,1503,1502,1100,966,1216,414,291,1408,436
115,345,112,22,1282,1564,1590,884,325,772,969
116,656,250,1442,1140,421,584,425,1189,1566,640
117,1058,724,267,1193,1248,1255,1403,256,1341,986
118,508,944,69,720,1221,150,275,16,475,1273
119,795,561,199,1521,332,342,345,1511,1073,984
120,1489,1175,705,644,667,739,1101,161,75,1504
121,1462,911,485,1288,469,1545,1201,799,766,1267
122,1429,109,158,1425,1265,1582,299,1284,1381,966
123,39,1532,955,7,509,124,234,1327,997,149
124,1300,1093,1446,625,847,725,708,1168,209,919
125,1120,1564,820,1595,1106,295,153,1187,439,823
126,630,1158,86,983,379,1354,1362,964,1593,212
127,1091,425,393,681,779,1076,1497,506,670,24
128,224,196,198,1493,949,1206,1517,575,1127,1541
129,1399,152,1422,580,1287,755,603,1142,816,53
130,1426,923,1062,55,1555,1474,422,831,352,1204
131,1595,1529,646,1329,848,867,838,731,1416,1462
132,1272,483,632,308,703,1558,1088,984,1231,1326
133,1254,889,1196,618,67,1024,262,1182,56,651
134,1358,1239,539,574,534,44,1592,937,1404,961
135,1323,208,911,1294,1480,553,1135,709,240,85
136,160,410,1510,1505,32,1587,620,959,295,904
137,100,953,302,1416,884,1350,1174,518,658,1176
138,1388,1549,13,1150,793,363,1210,347,1305,1467
139,41,1304,562,1438,1521,1506,524,507,782,531
140,1371,1230,447,46,1488,1596,119,451,1321,715
141,810,1003,1195,454,1244,96,261,1279,565,518
142,1050,1593,1122,1589,839,307,1105,167,1068,423
143,1390,261,1001,1120,181,1240,77,233,657,425
144,1220,489,1589,194,1177,786,295,668,1007,622
145,204,967,121,729,1155,652,1458,263,1382,3
146,305,337,928,197,547,1403,1142,1396,586,1082
147,466,283,1236,559,989,1173,1266,1385,555,1147
148,171,1392,1033,1550,333,596,1575,1050,1063,325
149,1253,646,734,152,188,98,905,171,1517,972
150,1396,876,451,1554,618,488,242,75,265,1097
151,1221,256,711,1538,580,963,1049,37,395,300
152,295,859,933,188,410,187,818,497,933,269
153,819,770,880,1566,287,148,60,452,1090,1476
154,1015,150,42,1498,82,121,1446,1288,668,654
155,717,414,1259,843,732,3,314,701,286,376
156,1339,1397,330,1211,685,27,538,186,1304,619
157,92,867,1137,596,1118,626,915,1262,1253,977
158,1531,1181,286,79,840,1104,1500,20,85,1517
159,816,1217,832,336,890,69,572,1274,25,224
160,977,194,1598,1132,1217,672,318,488,1155,51
161,1573,681,1104,764,1057,1233,338,98,1041,1558
162,57,530,474,89,94,1387,17,972,932,1547
163,621,1137,691,343,35,1325,709,706,1262,1269
164,961,384,98,332,808,926,600,1547,1445,1319
165,9,563,240,1327,829,1342,118,363,1152,427
166,527,554,467,326,318,108,750,593,1081,455
167,317,1575,1491,1268,450,823,586,1447,1032,1373
168,643,594,358,1336,344,843,849,549,824,1533
169,1574,614,430,508,1151,1366,1502,1397,745,1294
170,1491,102,1391,829,1189,992,949,1006,1414,200
171,446,1206,529,1258,1309,1271,402,509,1474,1245
