,1,2,3,4
0,1404,178,481,1564
1,530,176,314,1448
2,866,1343,419,520
3,1592,67,848,346
4,1541,1157,378,563
5,336,1518,1109,1072
6,1443,5,760,660
7,1474,222,1000,1558
8,907,47,862,1117
9,1132,334,1112,1238
10,1175,1011,1037,721
11,703,1064,1424,125
12,1159,446,822,1311
13,688,607,921,308
14,1012,803,1119,1211
15,1035,602,1172,29
16,991,831,1533,278
17,1297,678,631,184
18,294,620,775,1008
19,677,914,661,1422
20,1564,1259,1340,1315
21,552,1341,217,549
22,643,51,260,360
23,619,589,400,757
24,165,713,837,53
25,1299,581,384,311
26,1348,309,967,441
27,1512,628,1098,907
28,631,329,1009,1583
29,1385,864,849,1250
30,848,480,830,707
31,962,587,844,439
32,947,1244,1419,885
33,1569,860,0,1131
34,516,1525,503,1373
35,1205,284,950,400
36,692,174,875,66
37,673,1553,774,777
38,486,326,1213,1034
39,1369,970,839,62
40,606,1404,1338,1196
41,231,335,722,1413
42,302,415,333,1408
43,1431,537,850,415
44,11,635,437,1018
45,1374,494,58,718
46,110,1099,581,423
47,1497,776,823,224
48,1105,629,205,1157
49,1248,675,1208,1351
50,355,183,1590,690
51,364,453,1390,269
52,64,123,1110,1299
53,169,1548,67,1259
54,908,651,1028,817
55,1049,680,1032,1431
56,1304,1375,1571,772
57,857,1103,821,479
58,1409,107,409,1256
59,416,739,1580,1589
60,693,850,1544,15
61,525,1286,673,130
62,188,1417,903,542
63,57,450,1247,44
64,1267,1020,1183,909
65,1161,717,667,138
66,1186,1418,53,54
67,979,983,257,1503
68,1515,573,321,20
69,1352,1504,1030,52
70,1218,1479,1516,59
71,49,538,537,410
72,8,736,578,40
73,740,1334,141,1030
74,932,108,806,966
75,638,1088,712,957
76,1108,249,827,67
77,479,809,845,276
78,471,1296,1126,550
79,472,608,853,844
80,1128,491,591,298
81,861,1250,1331,1249
82,1488,1549,1438,468
83,686,1378,1484,565
84,546,606,1361,616
85,655,967,1482,480
86,1201,39,403,804
87,360,68,63,554
88,1272,113,142,291
89,1335,94,1284,152
90,1273,725,767,1328
91,436,890,1481,1346
92,1459,86,1324,958
93,820,202,1520,1310
94,1264,1112,1366,1186
95,203,531,1542,192
96,665,1125,355,852
97,1082,37,1179,606
98,787,1357,1024,499
99,245,1162,389,225
100,451,34,1116,381
101,758,314,46,1082
102,917,775,1150,867
103,1413,1323,1134,722
104,578,1037,1394,781
105,497,1297,352,310
106,929,432,71,1200
107,1167,583,810,1372
108,885,747,1430,1458
109,1190,287,1596,1544
110,160,64,401,200
111,441,1192,37,253
112,930,477,748,1025
113,1009,378,342,1161
114,51,980,711,393
115,1416,644,586,1483
116,1189,276,152,372
117,613,447,790,252
118,816,1522,1494,1174
119,183,876,1225,1530
120,981,466,985,1125
121,1242,1466,1274,630
122,16,89,811,583
123,362,104,456,650
124,1444,873,900,545
125,1254,1594,1219,1470
126,970,721,1063,1491
127,153,765,698,413
128,333,1324,1260,1280
129,1014,570,229,1233
130,944,1215,1038,466
131,398,899,965,920
132,0,1231,1336,1212
133,627,665,1173,1582
134,1183,73,923,187
135,229,1326,356,1155
136,1230,357,677,133
137,792,1272,808,632
138,137,696,1079,508
139,1420,159,1470,896
140,591,1056,714,1216
141,644,324,547,1436
142,676,430,1423,1489
143,1336,416,232,1495
144,1538,1048,1076,573
145,490,1275,1190,918
146,769,227,703,1549
147,1292,917,1564,1068
148,1493,247,209,669
149,1018,1541,855,1091
150,739,1494,799,726
151,528,664,521,597
152,746,863,129,1036
153,415,414,1377,1205
154,1178,1274,298,1113
155,689,116,27,1163
156,883,350,972,921
157,951,1528,1408,744
158,614,215,462,186
159,1481,636,753,169
160,306,984,454,516
161,1064,1086,381,211
162,1537,252,299,448
163,205,327,1244,636
164,1203,1193,1242,294
165,396,258,1054,60
166,1061,872,876,928
167,815,1096,445,941
168,1554,941,941,136
169,1354,1293,695,1051
170,1214,1113,344,786
171,196,605,1159,622
172,489,1109,1288,305
173,1339,153,488,306
174,590,244,182,813
175,931,1019,1362,635
176,923,233,1525,607
177,514,785,224,612
178,604,1226,1042,92
179,957,962,176,1517
180,826,82,1391,6
181,1002,1200,720,1193
182,593,761,951,633
183,255,530,836,86
184,874,851,761,355
185,1548,144,609,1562
186,679,891,1455,859
187,949,919,597,682
188,1464,1072,336,472
189,14,1458,1293,850
190,1147,482,554,567
191,26,1325,956,106
192,408,296,501,1498
193,271,1546,353,1135
194,702,683,947,810
195,363,590,759,1063
196,615,1277,616,1366
197,1079,615,1055,23
198,277,290,102,377
199,1109,1321,1315,1070
200,1436,801,635,1226
201,156,1155,1065,1214
202,780,102,259,107
203,600,964,841,1219
204,247,1138,699,812
205,983,1387,1365,1041
206,1439,1082,637,1391
207,784,1235,619,1162
208,297,1468,1568,150
209,126,845,44,1108
210,1114,81,752,691
211,1137,462,199,1316
212,235,762,756,1133
213,628,1596,1567,948
214,369,1562,807,1442
215,296,1083,1059,1009
216,1107,429,213,117
217,265,165,354,1230
218,926,438,1252,956
219,603,1492,1314,544
220,22,365,1070,557
221,1344,701,696,1335
222,1295,931,1511,175
223,634,198,856,1103
224,661,1509,834,727
225,411,965,337,325
226,905,1446,1281,801
227,1119,386,1546,296
228,423,1179,1364,1011
229,1380,1255,1307,475
230,1097,710,134,498
231,611,1397,124,1168
232,1477,823,297,473
233,397,791,1040,995
234,652,796,977,231
235,1452,95,835,861
236,850,120,1238,1199
237,969,99,60,1404
238,1326,195,1062,870
239,804,1384,1547,1176
240,388,1327,625,239
241,1574,370,460,373
242,1252,1402,993,412
243,771,251,8,432
244,1006,42,968,611
245,1033,882,884,802
246,1485,1152,498,71
247,895,888,165,895
248,681,574,136,1370
249,818,1285,1432,618
250,715,1098,491,1134
251,903,771,866,1554
252,865,1580,1291,789
253,1298,1136,52,599
254,264,707,608,663
255,1506,1253,1,352
256,1331,1189,1350,1484
257,1234,461,1447,445
258,1158,508,443,223
259,1138,245,171,619
260,322,371,258,509
261,906,516,1046,159
262,164,1301,1022,1353
263,1580,403,34,155
264,1468,21,14,272
265,1355,383,254,1050
266,445,111,1275,1275
267,1224,790,364,1234
268,168,267,405,760
269,594,957,647,526
270,1324,971,495,1033
271,1451,75,293,375
272,718,1505,1509,719
273,47,1308,1019,1350
274,281,773,1498,894
275,1556,88,685,1361
276,124,321,50,1535
277,329,122,1188,391
278,687,468,718,1327
279,943,1451,584,463
280,1005,1514,385,1344
281,541,136,264,1521
282,1484,731,332,582
283,206,146,1392,31
284,781,745,1489,320
285,78,1022,417,1048
286,978,787,1056,534
287,337,342,88,519
288,254,527,1137,944
289,901,1579,335,262
290,640,674,1145,1561
291,1544,1280,957,10
292,610,658,751,1144
293,717,217,1352,761
294,512,397,1003,314
295,1351,655,707,258
296,939,709,1004,244
297,195,1360,459,832
298,1080,131,1399,503
299,395,303,658,971
300,303,763,1023,1253
301,350,476,1160,1001
302,1104,838,638,954
303,1341,80,561,254
