,1
0,1440
1,1339
2,1445
3,335
4,157
5,790
6,241
7,698
8,1308
9,795
10,363
11,187
12,1213
13,358
14,353
15,39
16,173
17,393
18,629
19,951
20,1287
21,734
22,350
23,1110
24,1378
25,1032
26,688
27,780
28,1421
29,844
30,1547
31,314
32,1038
33,666
34,1028
35,1450
36,1539
37,894
38,27
39,781
40,1538
41,369
42,33
43,923
44,874
45,216
46,134
47,1492
48,74
49,345
50,1398
51,955
52,941
53,1311
54,681
55,638
56,1078
57,1249
58,96
59,1413
60,1044
61,1039
62,396
63,1351
64,558
65,132
66,901
67,84
68,102
69,1052
70,162
71,1029
72,852
73,1077
74,428
75,1406
76,251
77,714
78,562
79,99
80,1525
81,356
82,193
83,1173
84,34
85,596
86,150
87,342
88,627
89,499
90,1067
91,1018
92,936
93,997
94,1416
95,798
96,30
97,1230
98,424
99,1204
100,927
101,1465
102,50
103,587
104,461
105,1477
106,165
107,608
108,1315
109,1381
110,615
111,821
112,294
113,903
114,1562
115,264
116,1594
117,1475
118,1361
119,946
120,590
121,1542
122,635
123,185
124,1179
125,791
126,1371
127,1460
128,316
129,828
130,813
131,1288
132,968
133,741
134,1224
135,248
136,281
137,846
138,896
139,971
140,534
141,111
142,1174
143,554
144,632
145,1498
146,583
147,699
148,663
149,1146
150,599
151,66
152,448
153,347
154,1278
155,603
156,1272
157,141
158,1148
159,52
160,321
161,1
162,405
163,640
164,824
165,256
166,984
167,1188
168,985
169,965
170,1499
171,1196
172,1375
173,1598
174,1583
175,873
176,455
177,830
178,1500
179,1402
180,1430
181,1266
182,429
183,149
184,586
185,697
186,1068
187,573
188,742
189,621
190,595
191,1444
192,767
193,619
194,380
195,323
196,1561
197,732
198,156
199,79
200,1227
201,1051
202,1549
203,133
204,1294
205,485
206,1593
207,1115
208,225
209,692
210,507
211,645
212,843
213,1184
214,1302
215,20
216,186
217,1563
218,584
219,75
220,1535
221,482
222,758
223,1235
224,1556
225,391
226,491
227,759
228,782
229,891
230,346
231,1267
232,197
233,1159
234,1418
235,544
236,1476
237,646
238,1191
239,622
240,998
241,609
242,119
243,331
244,266
245,174
246,1149
247,647
248,1182
249,200
250,1238
251,45
252,537
253,884
254,1094
255,1162
256,1303
257,1319
258,399
259,1065
260,639
261,307
262,812
263,815
264,1461
265,1405
266,1462
267,181
268,833
269,548
270,908
271,512
272,611
273,839
274,784
275,1470
276,930
277,671
278,422
279,417
280,532
281,1087
282,301
283,932
284,1417
285,1423
286,412
287,1172
288,492
289,1215
290,209
291,994
292,49
293,1335
294,112
295,115
296,443
297,1517
298,716
299,1368
300,1243
301,847
302,1595
303,1104
304,1001
305,361
306,761
307,899
308,1553
309,942
310,355
311,1428
312,462
313,850
314,1195
315,1141
316,1229
317,1079
318,107
319,991
320,776
321,122
322,250
323,943
324,1136
325,116
326,303
327,327
328,1467
329,974
330,1427
331,764
332,490
333,1021
334,1391
335,143
336,877
337,87
338,1426
339,221
340,1486
341,967
342,43
343,1332
344,21
345,287
346,1364
347,720
348,154
349,423
350,969
351,825
352,1123
353,768
354,127
355,855
356,931
357,1081
358,1316
359,1242
360,1559
361,541
362,1518
363,1111
364,737
365,1097
366,1392
367,1312
368,601
369,1431
370,746
371,1291
372,708
373,441
374,756
375,725
376,131
377,233
378,889
379,344
380,755
381,322
382,202
383,1285
384,1588
385,390
386,254
387,1313
388,1526
389,1000
390,460
391,36
392,227
393,506
394,680
395,311
396,779
397,819
398,1557
399,1310
400,249
401,1122
402,885
403,1536
404,841
405,989
406,1307
407,450
408,61
409,1388
410,98
411,1541
412,1328
413,715
414,1551
415,1345
416,1133
417,694
418,1113
419,362
420,1140
421,1386
422,1108
423,1304
424,279
425,370
426,788
427,881
428,8
429,161
430,1203
431,88
432,425
433,103
434,594
435,510
436,1002
437,304
438,1577
439,988
440,293
441,1075
442,32
443,568
444,155
445,1017
446,1125
447,469
448,1194
449,62
450,453
451,1085
452,338
453,86
454,319
455,118
456,259
457,1455
458,1513
459,269
460,610
461,723
462,464
463,1508
464,907
465,1026
466,58
467,730
468,1197
469,298
470,1177
471,1574
472,1240
473,1059
474,1190
475,57
476,754
477,330
478,407
479,563
480,1438
481,1082
482,444
483,685
484,1132
485,1269
486,1273
487,318
488,382
489,223
490,1236
491,906
492,1256
493,332
494,324
495,282
496,215
497,938
498,230
499,329
500,770
501,1369
502,368
503,939
504,291
505,695
506,398
507,702
508,979
509,77
510,921
511,1129
512,722
513,1373
514,182
515,606
516,240
517,1290
518,1232
519,948
520,626
521,14
522,351
523,1150
524,1457
525,959
526,438
527,794
528,557
529,1554
530,1532
531,160
532,306
533,817
534,305
535,1346
536,996
537,1531
538,1246
539,1558
540,437
541,1023
542,1247
543,1505
544,41
545,378
546,871
547,1320
548,214
549,707
550,625
551,404
552,328
553,713
554,1261
555,1408
556,966
557,409
558,195
559,1281
560,38
561,496
562,42
563,1216
