,1,2,3,4,5,6,7,8,9,10
0,64,352,1188,1080,25,675,1554,1560,717,667
1,1428,93,649,666,620,1396,1400,901,675,877
2,482,695,813,73,431,93,1209,308,677,1493
3,1468,930,687,1117,500,1034,606,1328,605,748
4,1202,1579,265,977,334,277,1307,673,866,935
5,880,983,37,1176,1042,1026,1452,696,797,783
6,380,1516,1418,1351,687,855,1087,268,115,342
7,35,864,1169,479,491,10,776,576,266,137
8,984,188,520,180,1367,165,1304,1478,189,416
9,388,205,1308,852,14,1310,995,795,660,439
10,579,411,8,1045,1546,700,1597,116,1042,652
11,368,246,36,85,248,119,28,1164,241,283
12,813,103,1157,820,755,1020,1571,1561,627,864
13,475,610,1351,715,1114,28,230,1198,1165,1085
14,271,1466,116,1032,132,228,1198,307,144,1210
15,360,816,498,1084,1543,1046,1558,437,291,1136
16,1182,243,153,1243,726,1289,980,1021,613,848
17,1549,466,1284,906,1534,830,1161,1566,815,1145
18,1155,437,320,77,1284,942,829,521,540,1513
19,1021,1273,285,701,1419,1052,307,740,701,925
20,669,1338,1411,888,434,631,203,1570,828,683
21,143,1391,815,872,1141,633,853,1090,307,777
22,1299,64,1309,507,316,1074,346,6,1047,1365
23,496,449,1513,116,1468,1337,440,695,791,276
24,1302,229,38,1394,1400,226,902,1589,955,17
25,773,1351,1251,244,345,193,948,1048,151,1190
26,1503,379,1435,1271,430,445,49,684,1128,1214
27,292,1220,288,135,357,1244,228,1429,861,1298
28,274,1203,426,110,725,766,1193,1342,547,271
29,661,791,521,1030,523,928,1483,928,996,1593
30,940,116,1519,75,304,373,916,392,826,679
31,546,1348,894,930,437,1001,1436,1383,1156,918
32,445,1148,975,923,664,647,501,1309,1332,597
33,288,536,274,723,923,407,685,1180,193,855
34,1025,790,686,1309,1587,873,361,866,170,1554
35,715,1193,328,1480,1229,1230,611,1163,1202,361
36,534,540,409,486,339,879,1303,1300,1553,1052
37,1071,1589,548,1476,1158,983,1573,1517,915,1264
38,1017,844,341,1358,143,268,899,1293,1469,844
39,1577,210,522,877,238,1245,1245,1460,1358,511
40,529,1245,1180,19,1339,492,1289,178,817,1212
41,1383,477,1278,1571,1490,1043,890,728,217,433
42,846,544,1494,544,117,1091,313,1400,19,902
43,254,1553,876,716,1360,756,908,433,102,1033
44,903,302,854,185,42,957,581,196,640,1224
45,1179,820,935,426,792,113,1398,1264,1455,1453
46,236,1487,1469,132,803,312,833,1320,1331,101
47,1389,1404,205,970,1421,1250,1170,881,700,1105
48,1324,751,904,761,1302,905,387,430,874,1314
49,320,110,16,1572,758,1016,973,904,1183,1017
50,707,843,763,273,1574,1224,1468,956,1255,377
51,1556,31,606,1241,786,1361,401,336,1117,251
52,1134,1309,1083,139,1207,1449,661,540,483,115
53,1372,521,1459,441,1542,667,904,1479,154,1061
54,640,439,570,1198,1052,284,1152,965,1010,602
55,1593,920,912,950,133,1468,1413,817,507,301
56,798,728,1472,1314,833,253,1391,703,1242,765
57,1281,1254,871,94,944,1066,944,122,764,124
58,1479,1381,1063,1573,1282,254,55,1452,165,1510
59,685,1125,541,1379,44,734,1584,1136,999,1293
60,1203,1178,15,471,1509,555,1162,807,142,29
61,1494,1538,280,815,1156,1511,426,500,911,452
62,1590,668,100,115,855,1561,483,382,980,368
63,652,1252,909,1043,535,345,1459,150,1415,983
64,1269,548,1217,258,918,1263,857,1031,1447,1353
65,794,502,778,457,1580,221,1314,868,599,533
66,489,964,989,1118,397,163,1467,692,564,867
67,330,1331,276,409,1216,270,1185,1374,840,215
68,245,768,1037,687,1025,1552,698,1208,1557,536
69,1442,921,367,1582,816,1061,1231,125,1110,660
70,602,1145,136,1016,361,744,1448,319,1563,665
71,435,740,701,563,34,802,482,239,301,388
72,1492,997,703,1069,1397,174,435,305,348,896
73,1282,1162,375,287,264,677,1357,698,393,564
74,1090,1497,1482,1443,107,222,1587,867,723,257
75,1255,23,1299,206,1482,1537,1443,1594,604,353
76,918,1346,1357,235,359,1270,1320,919,1258,1479
77,1054,951,90,1171,96,255,1247,645,998,1591
78,58,480,1173,338,546,616,1186,1074,616,1428
79,201,198,1193,842,454,923,1327,909,524,815
80,1533,1235,558,855,1192,695,523,293,434,309
81,641,709,884,927,173,1276,311,884,210,1106
82,721,733,1014,1507,240,398,956,931,1383,812
83,1216,343,635,1173,456,1491,1311,1256,896,1394
84,1438,597,794,1542,1321,1297,1253,735,405,1241
85,196,907,587,149,979,607,569,278,1113,721
86,90,855,819,1586,1110,47,815,252,740,258
87,478,1535,934,823,1125,850,566,188,1539,1312
88,1193,1154,297,1585,1386,4,1465,714,1349,478
89,627,1055,619,47,1586,1267,1346,1571,921,1483
90,122,474,201,536,831,410,481,876,948,1582
91,1398,372,518,1434,1344,82,1390,812,355,450
92,290,882,1291,210,396,1471,1383,1392,452,573
93,1444,839,1129,97,1124,649,393,127,418,287
94,1162,353,1448,531,1187,891,990,365,1149,740
95,1168,350,776,711,1061,522,920,1287,502,1173
96,144,1468,1221,887,862,968,721,357,979,1530
97,712,117,552,344,280,890,518,1481,697,833
98,513,722,1440,143,114,599,1349,1032,206,1562
99,1568,318,419,1494,54,1096,39,526,607,516
100,318,1485,461,1103,322,1376,1155,616,100,960
101,590,44,1241,1175,788,1045,526,853,1559,1203
102,1078,1109,1341,1004,207,1152,65,1316,153,926
103,107,135,495,1448,1016,1564,1131,172,132,1398
104,1089,1049,347,700,1063,199,383,1059,1352,1132
105,807,760,72,1287,429,929,1020,1286,954,413
106,328,407,560,103,405,1277,388,650,129,233
107,858,831,1289,532,633,1164,694,119,1099,1594
108,1250,808,1109,1359,621,1542,1450,1171,13,108
109,1357,648,354,1381,1451,752,801,48,430,484
110,213,1511,1597,314,999,214,1461,856,80,656
111,277,3,1252,393,559,1060,1059,418,1578,473
112,244,1303,1313,117,432,176,391,599,1525,1277
113,899,328,668,184,1062,1075,247,1052,1218,1459
114,304,247,595,246,526,1327,35,191,1430,1580
115,423,966,1402,1387,1547,543,592,1535,1045,280
116,799,1057,450,1396,684,712,1486,208,818,1473
117,1516,264,1264,584,796,335,57,1130,125,488
118,379,710,594,1456,453,698,45,757,267,908
119,391,4,796,236,616,1475,1504,691,511,520
120,775,299,1275,857,1130,265,1019,343,415,73
121,1164,282,1002,276,1578,627,746,1145,1417,237
122,634,172,1162,893,623,1015,894,1238,971,669
123,180,1242,1303,118,1506,292,1370,1255,1089,962
124,851,122,1398,1106,876,1018,1541,742,1301,23
125,1449,192,974,37,1363,278,805,1356,1056,545
126,251,1264,920,740,362,556,649,201,1247,752
127,614,945,965,214,15,349,61,604,71,1135
128,1467,1091,327,1455,1548,1481,1368,147,1308,869
129,547,163,689,166,738,594,180,35,1547,305
130,663,323,1294,557,236,1194,1134,118,1442,199
131,10,9,292,202,572,279,492,772,117,905
132,1382,147,395,227,1407,784,991,1526,976,431
133,129,613,53,653,713,824,783,225,18,1121
134,214,1402,547,366,1135,123,1456,1473,882,47
135,1252,857,968,1157,1533,692,1007,1240,1098,142
136,1406,1251,1311,292,513,1112,363,1014,453,75
137,919,1102,315,1403,461,520,100,1011,421,556
138,909,746,284,347,76,1341,1411,1498,774,231
139,203,313,873,935,183,1014,870,1579,1397,1022
140,867,821,749,792,1056,11,185,381,751,1167
141,89,1421,1541,218,959,499,781,980,391,742
142,916,174,1531,1158,1348,1056,1408,587,947,193
143,367,408,1575,652,1528,1371,447,1427,750,1090
144,1159,1058,1030,592,371,1370,770,113,255,1014
145,771,632,926,134,740,842,1099,414,1177,1545
146,532,433,1565,1262,737,648,1444,247,600,973
