,1,2,3,4
0,417,861,1451,922
1,1551,139,1326,1128
2,1081,814,42,576
3,1120,708,1441,260
4,1162,1348,1170,1467
5,675,507,662,1409
6,1262,186,1223,1292
7,68,281,1230,1179
8,147,1081,306,1519
9,34,974,1064,1312
10,881,938,1539,1228
11,334,566,840,18
12,1067,549,286,214
13,1240,1419,467,452
14,1491,273,1151,1415
15,914,1537,1162,784
16,462,460,804,733
17,387,368,1034,331
18,894,545,938,87
19,244,654,194,167
20,971,3,940,478
21,1375,1475,1222,343
22,722,806,1446,577
23,427,292,1450,913
24,344,1415,483,1540
25,803,412,95,900
26,1414,930,709,1375
27,446,1574,846,1289
28,1127,13,954,1209
29,1363,436,1202,1167
30,1407,940,173,166
31,1241,322,133,903
32,1010,1448,1578,621
33,1546,124,1406,322
34,152,848,1262,1566
35,1545,1430,265,1432
36,1089,1586,1312,791
37,1213,667,1532,701
38,400,907,17,880
39,10,1568,681,518
40,832,352,80,3
41,549,660,920,658
42,809,209,944,61
43,1209,1444,660,235
44,862,426,1166,1576
45,563,1237,511,1302
46,789,920,1379,399
47,1323,289,1456,90
48,678,743,416,1285
49,135,1577,630,1076
50,204,1365,1127,383
51,139,819,1031,190
52,515,982,691,775
53,1188,1453,423,385
54,181,1224,1499,1424
55,315,16,430,1297
56,1376,97,105,693
57,623,341,387,1045
58,1195,1380,1493,139
59,1165,105,56,866
60,1364,1047,1421,185
61,733,377,1053,1092
62,1098,712,1300,1099
63,997,474,626,154
64,1511,1090,534,697
65,825,1410,512,281
66,1347,1312,582,1494
67,112,204,943,250
68,1086,690,763,329
69,967,715,150,547
70,32,797,1228,459
71,1048,903,468,672
72,671,184,179,1320
73,1124,263,879,925
74,1553,1591,1367,1123
75,584,1385,287,890
76,1251,1437,211,1516
77,331,196,611,936
78,1039,408,1402,1056
79,499,220,1305,145
80,420,585,843,1512
81,562,625,505,680
82,323,271,672,1321
83,1101,157,1088,872
84,909,815,112,387
85,847,1337,82,917
86,662,163,788,491
87,58,1353,1280,1139
88,1535,46,1492,299
89,95,1126,268,1362
90,1075,114,243,751
91,657,1131,838,13
92,433,221,1089,1513
93,1582,835,279,1414
94,1494,192,948,667
95,582,261,860,1252
96,618,811,1185,720
97,1492,632,362,1556
98,1280,1422,23,1352
99,1337,316,893,237
100,1322,631,868,1371
101,596,859,904,65
102,1530,406,1012,512
103,365,259,574,1427
104,431,454,755,827
105,748,900,858,877
106,1032,1345,346,1397
107,23,643,1113,1257
108,1311,1338,65,662
109,691,1497,75,715
110,1152,158,62,593
111,88,741,1018,374
112,714,1046,504,1527
113,1558,746,1373,206
114,1090,152,962,1580
115,382,1248,1156,1480
116,157,1414,798,1107
117,1421,363,911,1138
118,762,1085,365,843
119,1185,767,679,111
120,1057,1489,382,796
121,1514,27,1372,1543
122,1475,484,1353,419
123,1270,1190,295,1220
124,1099,404,118,451
125,379,315,604,1464
126,802,1010,784,9
127,226,1031,276,326
128,251,529,1005,1019
129,1223,117,202,207
130,367,295,713,100
131,827,1571,640,1419
132,1207,947,380,247
133,934,648,1563,1143
134,1408,1191,104,264
135,37,1551,203,1095
136,295,1023,214,421
137,1473,868,328,1587
138,276,1369,116,1518
139,492,147,560,165
140,158,986,373,952
141,1446,755,2,1500
142,430,1001,665,134
143,291,19,453,141
144,890,1322,1512,76
145,1260,138,164,1083
146,1411,883,1199,933
147,1259,1542,570,588
148,1133,8,1048,217
149,1245,401,273,1433
150,1078,723,1327,1452
151,577,754,193,559
152,1591,1261,1273,759
153,716,1142,633,1269
154,1417,1172,198,795
155,309,525,266,1195
156,444,257,1529,1536
157,1593,1313,726,232
158,437,687,1200,1071
159,559,445,757,591
160,940,909,1168,578
161,111,753,1518,212
162,966,346,1181,72
163,654,988,674,847
164,43,997,932,160
165,298,1535,671,238
166,1395,556,1103,835
167,470,1431,1123,1204
168,757,496,1396,504
169,154,56,1138,590
170,52,242,1555,424
171,1181,1287,218,334
172,1144,885,331,818
173,1587,1282,188,1023
174,314,59,1204,1279
175,597,272,73,316
176,684,1355,404,977
177,469,695,464,168
178,1509,593,641,7
179,1513,1148,865,1074
180,772,1394,847,21
181,653,700,315,820
182,127,1165,552,132
183,707,362,706,171
184,821,1203,524,241
185,324,784,1095,1314
186,915,1581,175,689
187,1358,1128,1349,129
188,257,1058,1480,1509
189,109,1567,76,109
190,770,1498,1097,1237
191,454,277,376,1411
192,1300,1209,961,1357
193,1076,469,386,1283
194,573,510,55,1563
195,361,1080,598,1145
196,1462,1182,741,1109
197,1495,43,94,939
198,711,580,915,901
199,238,1592,1475,1260
200,1445,518,1184,1396
201,1023,884,444,1514
202,956,706,1304,879
203,1043,458,191,768
204,320,1012,6,120
205,1424,77,1334,172
206,71,1352,891,174
207,658,78,735,201
208,401,283,106,1377
209,579,557,325,677
210,1476,203,654,80
211,326,1398,762,368
212,1291,1024,1232,1194
213,243,843,809,668
214,81,24,138,840
215,1478,749,782,114
216,960,497,392,1510
217,1130,1373,78,315
218,1143,697,869,540
219,823,495,383,902
220,1486,1097,139,783
221,532,234,1115,1169
222,672,1062,413,313
223,45,955,490,1394
224,721,1195,569,1573
225,210,128,736,464
226,788,317,128,1017
227,1309,361,410,961
228,450,837,189,828
229,1399,41,1591,980
230,1510,1340,825,681
231,1111,302,1445,1504
232,1598,1115,1025,723
233,197,390,1124,1065
234,994,265,96,12
235,1392,1247,431,839
236,876,1005,221,1303
237,141,812,402,1272
238,5,751,536,627
239,1184,603,854,1032
240,1194,354,592,639
241,1370,1233,859,1317
242,913,1173,144,510
243,1402,1302,432,1505
244,310,243,803,1102
245,647,278,1360,455
246,910,92,1108,524
247,1204,1278,1167,1106
248,829,1526,20,97
249,341,1565,870,22
250,389,150,127,1258
251,564,210,889,1098
252,1308,897,562,91
253,745,789,1253,959
254,1479,1441,1310,330
255,378,832,684,749
256,891,921,727,267
257,1283,1389,1102,999
258,844,824,1540,1440
259,942,901,1476,673
260,1328,1447,1592,43
261,410,1482,155,800
262,589,348,1562,932
263,1059,269,1328,1337
264,1415,611,361,1400
265,536,1306,1164,1347
266,483,216,255,950
267,7,1041,621,614
268,418,879,263,953
269,504,526,1259,156
270,155,1009,1027,203
271,705,1589,1154,976
272,1340,1206,522,998
273,1524,1503,1278,942
274,59,384,132,1
275,557,1362,340,897
276,422,866,1084,1140
277,1450,752,655,93
278,321,1245,551,555
279,339,1238,1497,218
280,835,1151,1066,176
281,1015,804,566,143
282,240,733,471,146
283,1406,617,1182,384
284,845,1122,227,1575
285,572,1455,1387,1319
286,1233,1269,153,333
287,174,1178,74,705
288,840,1342,247,1550
289,1066,387,1198,265
290,290,333,732,268
291,1091,1077,427,566
292,708,1305,374,699
293,83,1450,38,471
294,1534,285,1144,1325
295,753,471,1510,197
296,846,677,10,173
297,383,485,318,1189
298,1020,1166,5,982
299,911,805,1370,1101
300,376,1434,1397,497
301,690,160,1261,975
302,1282,817,1439,1363
303,1334,1039,18,307
304,1199,459,1474,1207
305,223,349,1371,1119
306,485,489,766,1141
307,478,839,716,893
308,982,423,485,202
309,855,1032,478,30
310,976,392,1478,70
311,1077,1132,1565,1088
312,985,499,1292,538
313,1393,572,1080,179
314,1346,1379,636,309
315,393,959,177,695
316,97,388,659,803
317,731,604,793,27
318,1371,716,366,181
319,287,992,418,462
320,72,1411,780,1401
321,116,512,1479,712
322,35,1386,1249,994
323,1228,669,687,1537
324,659,1557,963,275
325,1021,1358,614,927
326,1046,503,937,600
327,993,434,1549,1136
328,839,353,1417,1026
329,301,1197,358,648
330,626,540,925,779
331,561,1320,519,849
332,345,376,48,356
333,1040,96,208,261
334,1113,1291,734,1332
335,273,189,729,649
336,20,618,1016,1446
337,1285,1251,130,162
338,854,33,1598,1153
339,3,571,606,642
340,775,756,615,1007
341,656,562,939,875
342,1552,898,813,1262
343,592,1000,529,787
344,928,1257,525,601
345,230,779,819,282
346,880,1559,543,371
347,1325,923,28,671
348,268,1045,240,1190
349,919,544,589,935
350,1401,1556,285,1094
351,1265,626,1507,815
352,9,297,313,1038
353,1148,1532,740,575
354,1315,1554,1290,395
355,585,409,1545,274
356,1458,729,204,77
357,1549,653,1201,814
358,186,738,1378,297
359,1125,1381,1013,778
360,121,638,764,112
361,1146,1061,516,1247
362,1047,730,828,558
363,506,972,294,407
364,1153,852,518,822
365,447,659,532,180
366,547,1075,1332,594
367,893,568,246,645
368,328,1026,651,1122
369,1362,1499,274,792
370,833,600,820,659
371,1116,1121,234,986
372,93,154,398,838
373,574,343,746,776
374,863,1584,169,929
375,1016,985,1553,863
376,523,109,45,1551
377,924,1246,898,964
378,575,190,1135,670
379,1332,1300,1344,457
380,946,1222,1469,17
381,799,968,1593,1591
382,1463,978,690,1553
383,963,44,261,533
384,55,836,1177,911
385,162,686,289,105
386,69,647,1422,1244
387,719,1006,1111,876
388,39,1329,363,344
389,373,1363,502,924
390,1310,1067,145,1042
391,1135,1425,277,369
392,79,699,304,433
393,642,40,930,615
394,1236,535,1233,1469
395,663,871,1074,1376
396,732,582,975,753
397,602,72,1443,1330
398,1268,737,68,1043
399,570,1590,113,1154
400,1389,1185,148,1381
401,250,847,588,513
402,1442,1481,1500,989
403,741,1409,1579,530
404,1172,521,1572,116
405,889,1196,1071,1224
