,1
0,1172
1,1427
2,3806
3,4799
4,4491
5,3535
6,2300
7,1038
8,4308
9,2736
10,4779
11,4802
12,3352
13,1455
14,462
15,1010
16,115
17,3648
18,799
19,4182
20,1543
21,1373
22,3586
23,1415
24,791
25,1439
26,2409
27,3797
28,697
29,2533
30,2768
31,1036
32,2733
33,882
34,114
35,2531
36,3059
37,4055
38,1675
39,3155
40,3561
41,2217
42,754
43,1162
44,2240
45,4072
46,3393
47,183
48,87
49,1884
50,3362
51,3204
52,3521
53,954
54,480
55,1271
56,2233
57,2354
58,37
59,2993
60,616
61,3969
62,3524
63,3042
64,3499
65,1608
66,1752
67,991
68,2322
69,3964
70,4477
71,4676
72,502
73,412
74,2661
75,1594
76,3046
77,123
78,4629
79,722
80,751
81,1398
82,2325
83,793
84,163
85,3595
86,2795
87,4670
88,1433
89,1022
90,316
91,350
92,3812
93,4215
94,735
95,1459
96,3639
97,4824
98,1105
99,609
100,2579
101,3029
102,3640
103,3585
104,2510
105,4716
106,1919
107,3898
108,215
109,1982
110,121
111,4047
112,4678
113,1017
114,3667
115,2712
116,2255
117,2809
118,4062
119,3010
120,1395
121,1292
122,1462
123,1891
124,1943
125,470
126,3359
127,2654
128,3526
129,257
130,1118
131,1490
132,35
133,497
134,3601
135,1093
136,2852
137,684
138,2079
139,576
140,530
141,2765
142,1237
143,1308
144,1807
145,108
146,4536
147,458
148,4540
149,3230
150,2699
151,817
152,2344
153,2545
154,4552
155,4416
156,1365
157,3530
158,4104
159,4664
160,4198
161,2104
162,132
163,3252
164,1079
165,3934
166,2249
167,695
168,2220
169,1394
170,2283
171,3549
172,4574
173,4788
174,4247
175,2903
176,2058
177,4276
178,448
179,4644
180,4645
181,2989
182,4191
183,1438
184,2324
185,1493
186,3928
187,2959
188,210
189,935
190,4343
191,301
192,984
193,1849
194,3497
195,2828
196,1690
197,643
198,1680
199,1243
200,700
201,4869
202,730
203,1910
204,976
205,3115
206,166
207,2926
208,3302
209,4411
210,1074
211,4398
212,979
213,1611
214,1657
215,4464
216,2038
217,762
218,2617
219,1828
220,1789
221,1531
