,1,2,3,4,5,6,7,8,9,10
0,1946,4269,3601,4844,3077,2520,4296,2347,3726,2060
1,1734,459,3538,242,545,3500,3849,1565,950,3433
2,2982,4276,2460,1788,1775,3485,4685,3335,1119,4861
3,102,2070,4032,4350,1998,1831,3825,901,1483,1369
4,1881,4473,1447,4134,4153,1236,2182,4406,4497,3140
5,4579,3727,1416,17,3637,3441,450,4355,450,1199
6,3258,570,3949,572,650,343,4455,4097,1654,4744
7,1671,3368,4054,3025,147,2315,3010,2873,3367,3713
8,1100,1288,2056,1750,4142,147,4518,554,200,3707
9,4364,968,2801,2130,4551,1248,1332,2076,2780,4875
10,942,800,4400,3642,2072,3817,642,4342,1734,2682
11,392,1053,2648,1379,2428,1192,3208,676,3930,2141
12,1458,4534,4744,1239,3404,4336,617,3052,1008,1226
13,2101,4403,728,752,3171,94,2722,4843,2149,747
14,4353,4109,4673,1758,812,1886,1989,128,4654,2979
15,335,4369,2723,3802,1004,3942,296,1614,721,2838
16,3986,2838,2288,3456,2622,2005,3434,3225,2574,777
17,398,3463,1998,1508,411,2451,4199,3230,809,174
18,4273,3973,3435,869,745,4477,2964,4870,4587,3955
19,275,2224,2110,88,2217,4790,2730,2012,2902,2176
20,1556,2004,1442,4538,2778,138,4423,4465,2077,3559
21,981,962,3230,4262,4066,426,4763,1207,1945,4549
22,4625,4182,4255,878,2953,3057,1553,2306,4040,4763
23,4317,4062,657,2280,3834,336,1201,4514,671,264
24,249,3905,3120,3904,4141,429,2503,1929,3174,2612
25,3069,1199,4582,23,2162,2154,1957,3124,2266,2873
26,3001,2009,805,3402,2171,3612,29,1781,2466,987
27,1732,430,3817,4161,2972,300,1468,4718,40,1867
28,4750,1497,4567,2825,4650,1059,4707,3244,589,1179
29,1226,2901,4510,383,3942,4516,1482,352,4308,2831
30,4300,1024,4451,2383,1955,178,1469,3987,3369,482
31,2435,2147,29,2756,2073,430,1717,1319,3551,2918
32,219,268,4836,4068,2299,1344,1716,339,3334,229
33,1874,1559,2975,3300,2716,991,4878,2246,4657,3914
34,2875,677,2652,3796,1517,3733,786,636,382,2964
35,554,4731,1945,1458,2283,2201,1034,1755,3625,4599
36,693,3725,4099,181,2867,4052,1817,3278,2967,1073
37,4512,969,3443,2142,3496,3354,1620,4141,4401,179
38,3595,812,4865,4154,388,635,874,3885,4150,2971
39,3642,211,117,3272,2489,1269,1221,2207,3695,2461
40,3873,819,120,393,792,206,2890,4543,594,3238
41,3372,2655,4325,82,1035,2160,495,4046,793,4454
42,3616,1075,3531,4532,1867,227,3126,516,1237,4397
43,2259,1360,726,2039,1971,805,1896,1438,2744,2062
44,1953,2750,4297,2774,1315,4825,171,1959,4558,3334
45,768,0,783,513,770,4886,98,937,4782,3042
46,1493,3063,1983,2604,160,4122,527,4877,2500,1024
47,3758,1881,2080,2752,2863,1146,3833,411,1271,886
48,559,3930,1214,370,1821,190,1762,2101,3150,1071
49,1756,1028,2679,3548,4039,2194,157,4634,3618,2324
50,3423,997,2092,3608,3978,2950,1846,3608,3254,2669
51,1453,302,4420,1324,2176,3926,4772,3804,1907,4236
52,2855,591,186,2083,4043,3813,1060,1912,156,3795
53,4093,151,1973,743,41,2685,2773,3482,3311,4606
54,3401,2536,1318,2581,504,674,4221,3452,2767,1063
55,1298,3222,1261,374,1423,4041,3469,3319,3285,251
56,2143,2839,1860,1965,2504,1527,967,810,4802,2014
57,3495,3689,1821,3719,662,2827,767,1559,467,2034
58,1675,1010,3255,3472,4511,4668,783,2683,871,1576
59,3424,261,42,2672,2472,515,4850,293,1161,4215
60,1777,2256,3691,493,2549,3801,1532,3514,3971,3784
61,1429,4094,4691,808,1220,2536,210,2357,2064,2475
62,2447,2850,1068,4846,1077,2999,2762,2477,269,4860
63,2174,3075,4837,1907,3015,4101,1755,1691,485,4570
64,2313,3228,4863,3029,1166,2438,2938,960,1175,1272
65,3472,409,4263,2819,63,2147,2300,4745,1898,2173
66,1409,1364,4497,1905,1512,1099,1801,1963,975,4647
67,764,2884,294,3886,3946,2233,2598,2389,2596,3304
68,3010,4305,75,662,4848,1088,4253,4114,2349,2421
69,1704,2712,4565,1487,888,2628,1211,4598,2052,209
70,1306,2651,3664,2994,3745,2119,174,437,1104,3271
71,1539,2410,3125,3153,1492,1606,482,1577,1541,4106
72,2838,3130,4870,933,658,4390,2454,1184,4652,4491
73,4867,2303,4395,3708,4252,3274,4614,2972,1753,4028
74,443,3910,4788,3750,3112,1012,4750,552,482,1254
75,2051,4104,3823,2591,1304,4036,2941,3063,3997,257
76,1460,38,2717,633,4858,1441,1794,154,1061,3308
77,4881,4234,3253,652,2743,351,3318,214,3567,536
78,686,3257,2939,3636,2893,3348,1342,229,2784,4283
79,3850,1270,1640,1600,3886,2904,1591,4495,3731,4069
80,2753,4708,2936,4410,4839,617,2477,4411,2693,4213
81,2019,4068,4549,2785,2465,1809,1182,3718,1298,3858
82,163,2386,3430,544,2594,2833,4606,4638,3484,2471
83,2862,837,4595,4203,2993,2992,2348,1385,2059,1413
84,2530,2812,2322,3621,271,3618,3693,3457,4212,3886
85,2535,2558,2194,1812,1454,1488,3698,426,2304,1266
86,3944,912,1558,290,1066,3009,4057,1695,3205,4477
87,3914,298,665,320,2264,289,250,3877,1826,655
