,1,2,3,4
0,1818,4233,4845,3325
1,2125,4337,3486,2295
2,2447,3631,4838,4097
3,4858,4469,3714,2507
4,1934,1021,1236,842
5,1824,3819,241,4857
6,1383,678,971,4023
7,3291,131,1124,47
8,718,4318,3037,4039
9,3393,2047,3176,985
10,2965,1009,1504,1201
11,2164,4759,4836,1269
12,4790,735,4469,2998
13,3326,349,1802,2457
14,507,386,549,3667
15,2775,4452,3480,3008
16,1235,2911,3575,2444
17,3318,3670,858,2548
18,2203,524,4819,72
19,90,3259,1832,3865
20,340,3739,2301,4249
21,2316,314,4673,2244
22,4311,4226,2168,283
23,874,3072,3190,4841
24,2815,2901,3759,1614
25,1470,496,2295,3762
26,1387,1689,487,2328
27,3559,24,1858,1508
28,2773,4660,263,637
29,4724,3095,2572,850
30,2327,2589,7,735
31,2290,1752,2846,1852
32,4428,1922,2106,2955
33,1215,500,3108,4004
34,1058,1791,2115,2092
35,1502,2777,1526,996
36,2506,2442,268,4182
37,3684,912,3896,1966
38,1702,815,1046,1683
39,2604,4855,2319,2688
40,3227,3592,3890,2540
41,4614,3987,2455,3840
42,4743,1061,3121,859
43,4375,4403,447,4350
44,4754,4673,4848,1665
45,10,1540,720,4668
46,2736,933,2199,3997
47,4266,2783,230,241
48,931,3135,3956,3647
49,3052,3212,1747,1788
50,4540,2869,2673,2990
51,66,3673,3069,1674
52,4112,655,928,1807
53,4143,1482,4724,2292
54,1171,491,146,1806
55,4757,25,2694,3836
56,137,3727,3120,946
57,691,4655,1012,540
58,830,1343,3102,104
59,3539,3746,2857,1420
60,2330,3789,1177,3243
61,4139,1256,3079,2634
62,2638,1452,3985,3179
63,2498,4203,3788,2769
64,1480,1429,586,4792
65,941,3965,2483,2666
66,4687,3706,2828,4045
67,4192,1852,1989,649
68,4180,4265,2153,1624
69,188,2237,1890,4421
70,3930,2193,3130,1905
71,2067,3083,3926,1107
72,1563,987,3380,3982
73,2089,2688,505,1408
74,193,4201,1542,3620
75,3207,99,809,2714
76,3665,717,2287,3089
77,3582,1239,1458,605
78,2334,48,1433,3697
79,1596,2922,3738,2689
80,130,138,207,1785
81,4876,2022,897,1879
82,2482,1705,3512,2542
83,2799,2390,975,3941
84,2993,4488,4402,935
85,1272,1872,1073,1384
86,1122,582,3382,2299
87,2887,2829,3631,1115
88,3755,619,1612,3156
89,2534,407,2475,1402
90,3967,4378,2507,902
91,3012,3250,3703,4180
92,2877,4126,2736,746
93,2060,775,4635,136
94,2370,4012,1712,3467
95,4690,545,3919,199
96,3379,620,2078,3366
97,4493,4363,2194,4447
98,2183,2219,1566,4664
99,58,726,1737,3024
100,2862,3875,3859,3756
101,3803,3724,1334,4676
102,2064,2832,2708,3282
103,742,956,1593,4385
104,3533,1611,1450,2434
105,4721,150,4156,3844
106,4630,3738,3599,3919
107,1679,1055,1773,3363
108,3259,3176,1665,3346
109,123,4045,3513,4851
110,2391,3016,1947,1188
111,3966,861,4337,629
112,3853,746,1222,14
113,2850,3761,1068,4787
114,997,190,2364,2056
115,1384,2181,2314,1
116,4447,4804,4050,4299
117,1932,1484,3001,3939
118,4303,479,227,2987
119,3367,1572,4344,4530
120,3253,2319,3455,4588
121,1771,3136,426,4626
122,4014,4672,421,278
123,644,1322,4216,3707
124,1998,1306,4603,336
125,2281,2324,4081,1514
126,2596,3754,3318,73
127,792,4619,4602,998
128,4508,518,279,1164
129,1756,2363,1201,4673
130,2732,4735,3727,1216
131,3091,2306,3608,3847
132,2050,663,2959,2640
133,1676,2031,1182,4176
134,3506,1247,4359,4456
135,581,4504,2374,2362
136,1885,2076,3688,1643
137,3862,4285,656,2448
138,2363,3684,3552,2754
139,3029,1793,3873,3911
140,3427,945,2337,2379
141,3500,1079,1165,2517
142,426,1098,4310,926
143,4026,3878,3752,1312
144,4773,1918,165,2440
145,3124,1576,1270,4761
146,875,2266,1154,1757
147,1659,2028,3673,1239
148,3221,3783,2798,4046
149,1732,4057,2361,522
150,3742,3199,3333,4040
151,3634,3595,3728,3776
152,4099,2752,3309,738
153,4893,2147,2015,4250
154,2847,1494,1015,247
155,2666,2605,1844,4726
156,191,4284,4601,603
157,1022,3687,1996,2151
158,3209,2381,2012,75
159,1265,4838,3695,1891
160,1018,1395,4417,3864
161,2129,1719,25,4743
162,3136,763,4728,2698
163,4088,104,4173,3673
164,2734,1888,3338,4702
165,2490,3682,1400,2770
166,2360,281,3801,2402
167,3816,4333,2465,2973
168,419,3793,406,90
169,4337,785,3256,2939
170,1924,914,3499,3126
171,4229,3741,3945,1756
172,4110,2046,429,330
173,3604,790,4380,1722
174,2249,1770,812,3446
175,4073,167,4478,1355
176,877,2433,4074,545
177,2524,1658,4209,853
178,515,4642,1058,3582
179,4891,673,2682,44
180,1089,1020,3429,2376
181,3988,1620,2325,2219
182,4892,1406,1803,3622
183,2839,3334,2934,434
184,3820,3010,1625,3748
185,3419,1311,2202,2797
186,2152,568,2663,4331
187,3152,1586,2405,3262
188,4652,3177,2067,2090
189,1076,1817,714,2505
190,4675,3251,3052,168
191,3422,1176,886,2931
192,1441,2580,2706,1032
193,1940,365,2477,3235
194,4163,171,4785,4475
195,1123,928,4294,3700
196,3893,3090,3722,942
197,1418,4785,3007,3575
198,1585,3306,854,1323
199,2078,2804,1309,4729
200,4558,2555,1167,4714
201,1012,3416,4385,3273
202,753,3589,4109,298
203,821,197,2283,307
204,245,3860,782,2365
205,4650,622,1719,2671
