,1
0,1246
1,4719
2,2094
3,671
4,4585
5,3165
6,3794
7,4299
8,4439
9,4631
10,3511
11,2812
12,4097
13,4460
14,2637
15,4573
16,2562
17,1617
18,3013
19,4697
20,4860
21,191
22,1683
23,672
24,4430
25,435
26,605
27,3480
28,613
29,645
30,43
31,2151
32,154
33,1311
34,275
35,2634
36,12
37,4888
38,3254
39,1765
40,2452
41,1410
42,1381
43,297
44,737
45,1859
46,770
47,3818
48,476
49,400
50,1725
51,4240
52,3904
53,3731
54,1774
55,3954
56,1135
57,768
58,3463
59,141
60,4708
61,159
62,255
63,82
64,3910
65,2351
66,2001
67,2393
68,4231
69,3160
70,4200
71,2150
72,2987
73,2200
74,4071
75,395
76,1224
77,4794
78,3144
79,128
80,723
81,2621
82,4677
83,1947
84,298
85,3486
86,4757
87,2978
88,3893
89,4608
90,3331
91,2442
92,3685
93,1390
94,665
95,3508
96,890
97,1869
98,2335
99,3919
100,3740
101,3208
102,3129
103,1523
104,960
105,258
106,4117
107,4509
108,2825
109,3523
110,1507
111,2525
112,3991
113,150
114,857
115,1191
116,1758
117,3203
118,999
119,3908
120,2369
121,2230
122,4069
123,3058
124,1472
125,482
126,1332
127,2256
128,1339
129,4686
130,3901
131,1426
132,465
133,989
134,978
135,2390
136,4367
137,4597
138,4291
139,4520
140,1535
141,964
142,1424
143,2138
144,2824
145,1030
146,1540
147,175
148,3534
149,3406
150,3836
151,2590
152,748
153,3728
154,1467
155,2017
156,4739
157,4233
158,3297
159,1567
160,4653
161,2760
162,172
163,1111
164,3702
165,2014
166,4680
167,2789
168,1259
169,3381
170,1342
171,1283
172,606
173,403
174,3562
175,1840
176,881
177,3990
178,1048
179,95
180,2641
181,3317
182,4889
183,3457
184,4083
185,3503
186,3450
187,73
188,3446
189,2878
190,2670
191,3551
192,2580
193,3305
194,1999
195,4289
196,1092
197,3429
198,4529
199,775
200,1926
201,2186
202,4243
203,2057
204,4364
205,1816
206,4557
207,918
208,3061
209,248
210,3003
211,4878
212,2532
213,2561
214,0
215,2362
216,2717
217,3347
218,1399
219,4034
220,1320
221,3547
222,112
223,4616
224,252
225,479
226,4160
227,1173
228,1724
229,1414
230,247
231,2877
232,3313
233,1882
234,2839
235,3944
236,1248
237,2043
238,2858
239,1578
240,1328
241,3749
242,2438
243,4469
244,484
245,1583
246,3765
247,3635
248,1096
249,156
250,2786
251,4370
252,896
253,391
254,30
255,696
256,2614
257,4269
258,2080
259,2518
260,463
261,2711
262,3770
263,844
264,1277
265,2689
266,1860
267,2843
268,4081
269,4256
270,4580
271,4709
272,1539
273,4797
274,4290
275,2696
276,1371
277,3823
278,1721
279,2557
280,3137
281,4363
282,3087
283,638
284,4003
285,1939
286,2091
287,3553
288,4687
289,3707
290,1197
291,2273
292,2485
293,2312
294,3840
295,3498
296,2286
297,1310
298,171
299,3596
300,3181
301,3127
302,3015
303,1206
304,1688
305,3416
306,2301
307,2018
308,981
309,3973
310,1618
311,2898
312,4306
313,3281
314,2279
315,1152
316,1396
317,4148
318,4486
319,1842
320,2316
321,1964
322,2423
323,1343
324,3329
325,1830
326,225
327,1588
328,3052
329,1095
330,641
331,31
332,478
333,2834
334,4137
335,4319
336,3906
337,1959
338,45
339,1602
340,2575
341,2467
342,4692
343,1174
344,3222
345,1487
346,3198
347,2087
348,2542
349,1141
350,676
351,1585
352,873
353,2740
354,2392
355,2009
356,3212
357,1620
358,4265
359,4665
360,2041
361,4158
362,1440
363,2803
364,25
365,2010
366,471
367,319
368,179
369,3308
370,2869
371,2606
372,3951
373,2840
374,2624
375,3995
376,2015
377,369
378,1305
379,126
380,3744
381,2052
382,289
383,135
384,3578
385,186
386,2907
387,2980
388,3896
389,3687
390,1116
391,4606
392,1029
393,783
394,760
395,3278
396,1871
397,531
398,4310
399,3205
400,3395
401,424
402,491
403,4671
404,2832
405,3877
406,2802
407,4689
408,967
409,3116
410,1273
411,561
412,3576
413,3716
414,65
415,4321
416,16
417,1407
418,3459
419,3902
420,4156
421,9
422,4412
423,422
424,4690
425,2842
426,4505
427,2728
428,1448
429,2374
430,4500
431,2432
432,2931
433,2443
434,165
435,787
436,3371
437,3466
438,3854
439,2750
440,3135
441,2241
442,4249
443,3645
444,4407
445,2601
446,3737
447,1303
448,3789
449,4626
450,2737
451,894
452,1042
453,1872
454,2901
455,4621
456,3798
457,1654
458,1587
459,3454
460,2886
461,3555
462,1208
463,1513
464,3368
465,2605
466,983
467,4867
468,308
469,3332
470,198
471,1086
472,1081
473,136
474,3464
475,4302
476,3220
477,2478
478,1421
479,4618
480,2773
481,1729
482,1660
483,3717
484,231
485,4630
486,3939
487,2119
488,584
489,980
490,4510
491,1495
492,555
493,67
494,2221
495,3055
496,1251
497,3234
498,1521
499,1537
500,226
501,1795
502,2680
503,4
504,3097
505,691
506,1370
507,1665
508,4284
509,2738
510,1949
511,1515
512,1018
513,4094
514,390
515,965
516,3719
517,821
518,1995
519,3346
520,2764
521,4839
522,3024
523,2724
524,728
525,972
526,469
527,4157
528,238
529,4373
530,4041
531,1942
532,168
533,4236
534,2227
535,1353
536,2388
537,2063
538,4583
539,4685
540,371
541,217
542,2725
543,515
544,3363
545,1822
546,287
547,4205
548,4140
549,3698
550,3656
551,3755
552,1227
553,4601
554,1494
555,819
556,1671
557,3216
558,3699
559,1408
560,94
561,4100
562,2160
563,3925
564,1906
565,3788
566,2209
567,1094
568,4027
569,1952
570,2368
571,4278
572,355
573,4547
574,3552
575,3258
576,4713
577,2830
578,3017
579,3597
580,4783
581,3657
582,4275
583,907
584,944
585,4175
586,84
587,1195
588,3083
589,1363
590,3625
591,959
592,3034
593,2111
