,1,2,3,4,5,6,7,8,9,10
0,3175,3134,711,4466,4706,3394,934,4578,219,599
1,1478,2921,4696,2171,3092,1486,4421,2417,4393,350
2,1700,1664,4326,4117,2246,1837,4408,4372,1194,3778
3,363,3547,1523,2313,4503,2138,3923,515,198,3091
4,2224,2880,4150,1923,1724,4837,4532,879,2547,642
5,3415,2132,1958,3673,4481,4800,844,4275,1162,1511
6,2231,1723,108,1641,114,1572,4038,666,280,2814
7,192,2913,3992,2792,2143,1332,4017,4762,4871,344
8,4278,2179,375,403,968,4444,2007,3805,1526,4698
9,538,4517,1952,4664,256,571,1552,996,1911,1397
10,3920,4096,1106,4463,995,4507,2494,2567,3917,2458
11,299,1475,2063,853,2980,2914,806,3269,4302,811
12,3146,3389,4293,2215,4467,618,3254,4391,2151,510
13,1075,4374,1988,2624,2519,3735,3723,1109,2683,3656
14,1290,728,606,2258,2955,3318,2462,3554,4662,2422
15,2943,1687,1556,3730,1549,334,3987,4385,2768,1171
16,2034,4751,2062,3946,3391,1902,2317,3488,664,4333
17,2380,1144,4329,1079,3982,3471,1321,1001,2398,934
18,1822,2667,2275,2838,1945,1730,690,2465,4287,898
19,168,2243,1868,492,4695,210,2848,2563,2453,1478
20,729,32,1196,3772,2733,4401,1736,4027,780,3443
21,224,3814,2738,2334,3719,4505,1440,1244,1425,3489
22,3150,589,4665,3921,2243,141,4727,4733,1325,4428
23,555,3808,2697,903,1727,2007,4361,3936,3655,345
24,4004,142,2419,687,1924,3166,3224,418,4753,2732
25,3639,860,1285,625,436,4337,3426,4767,1330,2840
26,2886,2456,3506,1935,864,3253,2120,2493,3977,1128
27,424,1118,3039,1214,604,703,3323,3344,441,4291
28,3156,4612,3359,3859,4036,983,3319,1812,4699,156
29,2193,3997,1659,2161,3933,645,1253,260,371,793
30,4780,4495,1077,2462,3199,3275,2879,3434,1462,2591
31,3244,2755,4383,1877,3175,1364,4064,4378,2038,1110
32,264,112,1041,3989,1906,1156,4241,1335,2867,4312
33,2294,1336,2903,1775,2093,1771,2683,1980,145,770
34,221,2786,2353,4210,470,3093,4133,438,300,3947
35,1142,2189,3781,2121,642,1084,3029,310,2550,2107
36,2927,4138,1883,1178,976,1095,3340,801,3248,1146
37,348,3686,3733,2575,1581,4879,2266,1004,4718,105
38,2578,3293,3789,4590,1139,380,2829,2112,526,4620
39,3273,1865,1856,2676,4016,220,3704,2463,1109,2227
40,3048,2867,3837,4842,878,2477,757,1652,2035,952
41,653,1708,934,564,3194,2522,1315,134,4443,4435
42,1286,908,2987,1547,4065,936,3528,1474,292,478
43,1189,3761,4067,824,2506,1818,4052,1151,1246,323
