,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,2925,308,2867,1853,2825,1894,665,937,727,1543,1021,2891,1991,4438,1059,4604,4891,307,239,1104,891,1342,3737,3739,1852,893,1086,4817,868,3856,3907,2946,2328,414,1454,4897,300,1042,3318,571,3531,660,2458,4141,2558,2048,841,1996,290,1211,4066,4154,4447,3169,3470,431,3769,2761,4126,1169,3637,978,4433,1906,514,3736,2490,3651,761,3897,4453,4550,1681,2163,3396,3039,2060,1863,69,3237,2955,1135,502,1583,4147,1649,780,40,3750,258,744,1968,4821,2102,624,2675,2958,2848,4677,619
1,1768,3054,1201,1959,3147,1075,4574,638,4080,1936,35,4683,1117,1533,3541,2423,1330,1906,2333,1288,4071,2036,4327,430,3680,2982,3605,1419,1360,3268,3548,2026,4089,1746,188,1792,2176,3339,3865,4112,1885,4698,2094,4659,1038,2143,2715,2682,2885,2452,3142,1440,1535,3242,3946,2776,954,1582,4152,3748,3837,4362,2027,3180,2569,60,4280,3554,2064,1706,1851,392,1572,1010,1693,1252,3003,4388,2279,114,698,4370,3823,2748,2467,1472,3341,3510,4082,1379,2186,4268,4379,793,1314,2443,3215,4470,1420,1239
2,2269,4361,2790,3111,2608,385,3325,4680,982,1688,2959,3336,2632,1874,1849,2955,3631,1147,3203,1384,3813,2491,1859,1902,1387,2737,1075,3811,3831,107,2932,3547,189,1078,1113,2119,2313,1919,2936,983,3319,1266,3179,2790,2221,1532,4103,2601,4638,2839,4369,1333,3491,3135,427,2740,4436,2437,598,2307,330,470,4006,2828,200,3444,3833,255,3867,4659,4366,2662,3105,2848,4467,2925,1673,1008,3458,1651,2378,2621,4885,1546,495,3273,4251,3850,4053,4063,1927,4818,1553,996,1294,4489,2435,1060,322,4760
3,2116,1081,250,2218,539,601,1326,2849,313,3278,4552,391,1498,2542,2143,2731,59,2873,1589,1234,2728,4521,167,3911,4581,987,4147,1967,3318,377,1357,4290,3489,3532,779,722,2604,718,3764,2574,4040,4659,4583,4682,2180,1788,2615,1664,1075,4749,1949,3469,346,111,123,1783,2771,3088,1921,1724,4203,3615,4395,1543,2014,1940,4520,1961,1765,3920,2527,1665,77,184,2879,3548,1444,2451,3537,2156,1811,4301,2356,1627,4393,2603,3405,4256,2560,1877,3760,528,2109,1613,2246,3880,1566,1552,3975,2779
4,3621,3842,497,3313,1583,3903,4776,3007,3882,3151,4156,3822,219,3773,4746,2831,2159,1419,2926,2389,3400,1207,3392,2015,939,668,3876,1353,1496,2497,3457,958,1149,3006,1719,747,4564,4837,863,3459,3567,209,1471,459,4286,3112,560,4146,3037,2498,3396,4833,2169,3493,3575,2329,3924,3056,823,2407,4385,3283,4222,1382,3054,4292,2132,509,3322,3816,4112,2789,622,1441,2478,2853,247,1631,1284,3878,1292,513,1028,1043,1893,2104,862,2876,902,1642,2259,3878,348,1006,927,2224,2053,519,4621,1032
5,4270,3697,4207,1443,3738,4448,4002,697,1550,2141,563,3249,4247,2997,4178,419,4778,890,3095,933,4389,3936,1224,1129,3476,2347,1501,3448,3372,2388,1155,4848,1519,2902,355,2241,397,3438,1668,368,4455,2088,949,2369,800,470,371,673,1249,2011,201,397,4219,4675,849,2612,2544,1589,2972,3760,2895,2026,993,2063,3760,657,272,4407,2379,2683,1385,3491,1854,4790,4040,477,3748,2619,4241,3879,4281,3523,4011,3749,1291,1135,2359,1417,3359,3975,126,1884,734,2418,3364,1717,2943,623,1048,971
6,630,1903,3191,759,2100,387,1325,4688,3773,3893,564,3579,554,4283,2295,2871,3679,415,4589,296,2469,3039,3548,16,2939,2418,898,4146,1040,3278,259,3828,488,1999,4286,1589,3511,1139,3585,326,2987,511,2003,792,2842,3407,2313,1427,65,4570,246,1172,482,3975,1047,4801,3343,4143,817,3872,1406,845,1834,4314,269,353,1556,1393,2326,3757,1853,962,4554,2835,2385,576,2015,4478,704,3350,1829,3963,1357,3556,1790,1628,4155,2701,2430,3640,2337,2905,3216,76,1967,986,4569,1415,2942,396
7,2277,3057,4159,4025,2279,3220,4209,106,4009,761,4424,2855,3954,3089,191,110,875,550,3463,784,1954,4580,2491,1893,2947,2287,180,4223,2614,3287,4893,4211,4037,2255,2685,876,652,2958,1706,1952,989,3995,4820,3938,925,1143,898,3766,2547,2471,3922,1006,2960,4637,1283,3449,58,3335,2743,4344,4835,3686,2761,1689,4752,1925,1250,4847,1386,788,1713,1123,3500,4746,431,3945,3465,4593,1170,2820,274,2483,601,2885,3429,4591,2959,942,2683,3246,3777,1628,1968,2897,952,880,3394,1419,1538,4368
8,203,219,749,3769,1767,2050,4540,1279,375,2331,3737,355,4378,464,202,2764,946,4213,4695,3074,3454,4741,2019,3348,1392,928,1212,3188,863,4757,2747,4640,1482,669,3471,2917,4034,2437,162,4010,855,843,498,361,3318,1253,942,3423,2630,542,3231,2349,1950,1261,3003,190,4874,4799,4154,2012,1437,2613,3582,4578,4862,2598,3864,3908,3754,3327,4725,3453,3060,164,4568,286,1183,3813,1156,533,3951,679,2514,1963,2316,2574,4563,4418,2781,3598,4234,432,180,1425,1051,3384,3851,3440,632,2026
9,2181,3807,168,2197,2469,2419,3575,3928,0,2384,3793,1064,1046,4367,844,4356,2579,643,37,2308,3527,187,3378,221,494,1465,1050,2967,1520,2249,4580,998,4608,3244,4785,2886,3437,1775,1555,3237,2405,2674,4162,178,2782,3276,3530,3975,2294,3521,101,3155,3260,2528,657,2702,1047,3165,3908,933,3185,378,2941,1890,4433,4411,1834,1989,1101,2089,1689,2610,1780,3642,3888,3033,3562,2338,2938,2668,1132,3546,4881,246,1966,1219,96,2312,1576,1039,4136,4470,87,2070,3055,1991,4574,2654,1414,685
10,1233,3813,2306,344,3122,1782,3535,1395,4236,361,4581,2155,1361,810,3995,3389,2915,624,1626,3633,3635,794,4714,446,4756,2746,1883,4081,3269,1051,1945,699,2157,4746,2082,1398,2946,2504,3277,2148,708,3766,4714,2034,1388,3081,2908,4351,4324,2847,2447,890,1357,2651,4801,338,843,1116,5,2930,4500,3884,1701,602,685,2626,1919,4140,2106,1041,523,3641,3428,3336,853,896,2406,67,117,183,599,4590,3260,3948,2057,1684,4519,2478,1261,4151,2569,794,1418,1527,4843,1398,279,2415,2678,1403
11,3523,1321,735,1367,4750,1981,115,1073,2288,198,2088,1418,4221,878,1153,1369,4836,1777,2514,407,2816,3432,1217,1286,3006,2376,825,4767,1455,4032,2363,857,3136,1416,1741,3337,2038,1779,4789,2977,3661,2405,2571,2112,2719,3650,4167,3894,19,3743,4750,3064,3373,332,2750,1590,4179,1423,1511,4732,2579,3197,86,2618,2564,19,3302,3406,2116,3041,3871,2162,581,1261,3593,537,2830,3657,4718,4677,1613,3823,4447,508,2414,763,2305,1146,921,1743,456,596,1081,1752,1794,2353,3308,35,156,1036
12,4580,406,1418,4427,3533,3518,3363,4579,2798,25,2089,265,3178,3098,909,2603,2161,4694,2292,2289,2868,1092,317,2143,3617,1946,29,2055,53,131,3425,3756,4669,3799,4252,4132,4894,439,1875,913,2544,3406,4340,2253,299,3350,1948,2319,4099,4242,1731,2976,3002,4258,2513,1649,3104,1575,3534,4306,839,4783,3176,2479,2475,3436,1946,3341,1126,1170,711,3485,2146,55,4832,149,937,1348,515,3742,2791,2363,3360,314,1081,1590,625,2947,2609,3174,1382,1234,923,362,4446,3639,1057,4051,4349,3540
13,2974,833,3910,1441,3183,3876,305,444,1193,4702,2094,1855,3557,4171,3189,123,3099,1749,583,4692,1724,4072,3022,1330,3082,4000,2115,3084,2110,1056,3291,1385,2482,2158,2620,505,703,974,4814,585,1378,4489,1899,547,4671,3285,1609,2789,2824,2647,4581,4777,2399,3868,1936,4813,4213,4007,2655,477,2398,360,4566,2300,3243,1286,2682,2167,2613,3038,3252,1056,3213,700,849,4024,2777,1214,4650,155,1458,4743,3962,450,248,3976,876,4680,4204,1409,255,4581,1941,3386,4380,2901,4681,2657,3517,1346
