,1,2,3,4
0,95,1490,4080,2437
1,4609,1488,4425,1088
2,3151,4074,3268,4616
3,3079,2317,3070,3458
4,348,2769,1618,1940
5,443,2350,3226,554
6,184,2708,3609,2424
7,3451,2615,516,1997
8,3688,1376,4583,2683
9,1898,1229,768,3642
10,1348,1071,1362,94
11,2171,1742,3802,3972
12,882,1861,1596,2069
13,3577,2526,341,3858
14,3712,3752,2031,1366
15,2286,112,3417,585
16,2770,216,3105,1064
17,2066,4044,4544,4394
18,3314,2602,3910,4311
19,4735,3255,2650,3435
20,3412,2843,2547,1635
21,4783,3345,2576,1695
22,2804,4072,4418,3977
23,227,1301,1216,2131
24,4852,3844,4395,1136
25,4737,4608,4714,51
26,1405,3102,2628,1875
27,4577,1199,1481,2143
28,210,950,3448,563
29,571,4060,4419,2385
30,2866,814,3955,133
31,585,1158,2347,4309
32,1319,333,1836,1124
33,4570,1345,2611,4113
34,4541,3713,4572,8
35,1531,3553,3854,2579
36,86,1074,2716,331
37,1913,2693,2970,1019
38,1083,1476,4649,557
39,2959,2956,3996,2954
40,2332,2873,3005,945
41,704,1498,2644,4491
42,2040,2125,2208,2584
43,447,2608,2508,391
44,4173,3153,3853,1765
45,2774,3128,579,3786
46,612,1616,593,2509
47,935,3126,479,4141
48,1894,3196,3002,2800
49,1566,1238,4737,831
50,4019,4101,1338,988
51,1536,2515,2138,3341
52,75,4018,3413,2411
53,2934,2931,397,3326
54,1908,4043,1457,2274
55,4210,2621,2599,1967
56,1609,123,617,2834
57,1716,3640,2991,4630
58,1201,4502,3308,129
59,1221,4790,539,4653
60,2505,2569,283,4356
61,758,2332,4891,2415
62,1095,3355,4362,670
63,1085,3510,313,894
64,1467,1317,4122,1297
65,928,248,317,936
66,3487,438,361,3116
67,1117,1474,4302,694
68,2519,824,1515,4187
69,3316,1262,3442,2363
70,4405,2739,3946,2893
71,3899,554,798,150
72,1292,36,76,4019
73,1745,5,2021,2251
74,4140,180,898,82
75,3177,4320,4279,1578
76,4454,2434,649,4640
77,1729,4795,4627,161
78,2968,3973,1563,1937
79,3778,4197,909,839
80,421,1701,2098,4329
81,4738,569,4799,4594
82,2323,1615,3932,2912
83,3280,1518,1069,1427
84,1590,1205,2313,3954
85,2576,2999,164,4717
86,4111,3763,466,1198
87,3438,1308,3742,3984
88,4498,2675,420,3109
89,804,1440,1066,3755
90,3532,1773,519,1153
91,4845,3374,3949,4190
92,2701,2533,3366,1433
93,1598,1186,2380,1278
94,2335,4500,1896,4721
