feature,tree,knn,gnb,lda
1,1.4622848863937366e-14,0.0,1.4622848863937366e-14,1.4622848863937366e-14
2,1.4622848863937366e-14,0.0,1.4622848863937366e-14,1.4622848863937366e-14
3,1.4622848863937366e-14,0.0,1.4622848863937366e-14,1.4622848863937366e-14
4,1.4622848863937366e-14,0.0,1.4622848863937366e-14,1.4622848863937366e-14
5,1.4622848863937366e-14,0.0,1.4622848863937366e-14,1.4622848863937366e-14
6,1.4622848863937366e-14,0.0,1.4622848863937366e-14,1.4622848863937366e-14
7,1.4622848863937366e-14,0.0,1.4622848863937366e-14,1.4622848863937366e-14
8,1.4622848863937366e-14,0.0,1.4622848863937366e-14,1.4622848863937366e-14
9,1.4622848863937366e-14,0.0,1.4622848863937366e-14,1.4622848863937366e-14
10,1.4622848863937366e-14,0.0,1.4622848863937366e-14,1.4622848863937366e-14
11,1.4622848863937366e-14,0.0,1.4622848863937366e-14,1.4622848863937366e-14
12,1.4622848863937366e-14,0.0,1.4622848863937366e-14,1.4622848863937366e-14
13,1.4622848863937366e-14,0.0,1.4622848863937366e-14,1.4622848863937366e-14
14,1.4622848863937366e-14,0.0,1.4622848863937366e-14,1.4622848863937366e-14
15,1.4622848863937366e-14,0.0,1.4622848863937366e-14,1.4622848863937366e-14
16,1.4622848863937366e-14,0.0,1.4622848863937366e-14,1.4622848863937366e-14
17,1.4622848863937366e-14,0.0,1.4622848863937366e-14,1.4622848863937366e-14
18,1.4622848863937366e-14,0.0,1.4622848863937366e-14,1.4622848863937366e-14
