feature,tree,knn,gnb,lda
1,57.291666666666664,57.291666666666664,58.68055555555556,58.50694444444444
2,59.548611111111114,59.375,63.541666666666664,65.625
3,60.763888888888886,62.673611111111114,64.75694444444444,67.53472222222221
4,61.111111111111114,63.020833333333336,65.625,68.22916666666666
5,67.36111111111111,62.15277777777778,65.27777777777779,68.40277777777779
6,65.97222222222221,62.673611111111114,64.23611111111111,71.00694444444444
7,64.93055555555556,62.84722222222222,64.93055555555556,69.79166666666666
8,64.75694444444444,62.84722222222222,65.10416666666666,71.35416666666666
9,64.93055555555556,62.5,66.84027777777779,71.875
10,62.5,61.979166666666664,66.31944444444444,70.83333333333334
11,62.84722222222222,61.979166666666664,66.49305555555556,70.83333333333334
12,64.58333333333334,61.80555555555556,67.36111111111111,71.18055555555556
13,65.79861111111111,63.541666666666664,67.01388888888889,71.18055555555556
14,67.88194444444444,63.541666666666664,63.888888888888886,71.00694444444444
15,68.22916666666666,63.71527777777778,63.19444444444444,71.35416666666666
16,67.1875,62.326388888888886,63.36805555555556,71.00694444444444
17,64.75694444444444,62.326388888888886,63.36805555555556,70.3125
18,64.93055555555556,62.15277777777778,63.71527777777778,70.3125
19,67.36111111111111,62.15277777777778,62.15277777777778,70.48611111111111
