feature,tree,knn,gnb,lda
1,55.208333333333336,55.208333333333336,62.5,60.06944444444444
2,61.80555555555556,60.763888888888886,60.763888888888886,60.24305555555556
3,60.59027777777778,57.986111111111114,62.5,61.458333333333336
4,58.50694444444444,60.9375,61.458333333333336,64.75694444444444
5,66.14583333333334,64.0625,62.326388888888886,64.0625
6,62.84722222222222,64.0625,60.763888888888886,63.888888888888886
7,63.71527777777778,63.888888888888886,61.111111111111114,62.5
8,66.14583333333334,64.23611111111111,61.28472222222222,63.19444444444444
9,64.0625,60.24305555555556,61.80555555555556,63.541666666666664
10,64.23611111111111,60.59027777777778,61.63194444444444,62.5
11,63.71527777777778,60.416666666666664,61.63194444444444,66.14583333333334
12,63.888888888888886,60.06944444444444,61.111111111111114,64.40972222222221
13,64.93055555555556,60.06944444444444,61.111111111111114,64.23611111111111
14,67.70833333333334,62.673611111111114,60.9375,65.10416666666666
15,67.01388888888889,62.84722222222222,61.111111111111114,65.10416666666666
16,66.14583333333334,62.84722222222222,61.111111111111114,65.27777777777779
17,67.1875,62.673611111111114,62.84722222222222,64.40972222222221
18,67.01388888888889,62.673611111111114,62.5,64.0625
19,66.14583333333334,62.15277777777778,62.15277777777778,70.48611111111111
