feature,tree,knn,gnb,lda
1,16.78,16.79,15.110000000000001,13.28
2,25.5,25.669999999999998,22.02,19.86
3,35.089999999999996,37.0,26.41,23.73
4,38.83,43.169999999999995,28.799999999999997,25.81
5,55.48,63.5,37.97,35.56
6,59.98,72.23,39.989999999999995,37.99
7,61.24000000000001,75.72,42.970000000000006,41.88
8,64.7,82.32000000000001,47.49,45.26
9,67.21000000000001,86.75,52.21,50.36000000000001
10,71.21,91.84,57.620000000000005,57.879999999999995
11,75.2,94.39999999999999,62.980000000000004,64.39
12,75.06,92.14,63.190000000000005,64.97
13,74.95,92.44,64.47,66.11
14,74.87,92.96,66.07,66.81
15,75.74,93.76,67.22,69.35
16,74.96000000000001,94.11,68.45,70.52000000000001
