feature,tree,knn,gnb,lda
1,11.4,11.4,6.0600000000000005,4.97
2,14.719999999999999,14.829999999999998,11.459999999999999,8.83
3,28.549999999999997,29.15,23.080000000000002,22.8
4,31.819999999999997,34.5,27.33,27.07
5,37.72,44.2,30.18,30.28
6,47.07,58.56,33.95,32.32
7,53.410000000000004,69.5,40.46,39.54
8,57.91,76.75,45.15,42.559999999999995
9,58.35,78.28,47.12,44.55
10,67.02,87.49,53.36,52.01
11,70.98,92.17,58.69,59.489999999999995
12,74.83999999999999,94.47,64.29,65.77
13,74.67,95.16,65.71000000000001,66.35
14,75.01,92.96,66.07,66.81
15,74.92999999999999,93.43,67.54,68.02
16,75.07000000000001,94.05,68.45,70.52000000000001
