feature,tree,knn,gnb,lda
1,13.19,10.47,10.67,8.49
2,18.13,16.91,16.09,11.709999999999999
3,21.709999999999997,22.759999999999998,19.37,16.66
4,35.94,42.15,28.999999999999996,26.14
5,45.800000000000004,56.269999999999996,35.78,32.51
6,48.370000000000005,59.540000000000006,38.05,34.43
7,53.97,70.15,42.92,39.57
8,58.03,77.0,46.150000000000006,42.95
9,59.79,80.9,48.05,44.11
10,60.28,83.09,48.809999999999995,46.300000000000004
11,60.57,85.33,51.89,50.839999999999996
12,68.44,91.53,57.53,58.220000000000006
13,73.07000000000001,93.85,64.46,64.25999999999999
14,72.25,94.69999999999999,66.02,64.96
15,72.78,92.07,66.25,66.02
16,74.82,93.36,68.69,70.3
