feature,tree,knn,gnb,lda
1,75.92592592592592,75.92592592592592,75.18518518518519,75.55555555555556
2,94.62962962962963,96.11111111111111,89.07407407407408,91.66666666666666
3,100.0,100.0,100.0,100.0
4,100.0,100.0,100.0,100.0
5,100.0,100.0,100.0,100.0
6,99.81481481481481,100.0,100.0,100.0
7,99.81481481481481,100.0,100.0,100.0
8,99.81481481481481,100.0,100.0,100.0
9,99.81481481481481,100.0,100.0,100.0
10,99.81481481481481,100.0,100.0,100.0
11,100.0,100.0,100.0,100.0
12,100.0,100.0,100.0,100.0
13,100.0,100.0,100.0,100.0
14,100.0,100.0,100.0,100.0
15,100.0,100.0,100.0,100.0
16,100.0,100.0,100.0,100.0
17,99.81481481481481,100.0,100.0,100.0
18,99.81481481481481,100.0,100.0,100.0
19,100.0,100.0,100.0,100.0
20,100.0,100.0,100.0,100.0
21,99.81481481481481,100.0,100.0,100.0
22,100.0,100.0,100.0,100.0
23,100.0,100.0,100.0,100.0
24,99.81481481481481,100.0,100.0,100.0
25,99.81481481481481,100.0,100.0,100.0
26,99.81481481481481,100.0,100.0,100.0
27,100.0,100.0,99.62962962962963,100.0
28,99.81481481481481,100.0,99.62962962962963,100.0
29,100.0,100.0,99.62962962962963,100.0
30,99.81481481481481,100.0,99.62962962962963,99.62962962962963
31,99.81481481481481,100.0,99.62962962962963,99.62962962962963
32,99.81481481481481,100.0,99.62962962962963,99.62962962962963
33,100.0,100.0,99.62962962962963,99.44444444444444
34,100.0,100.0,99.62962962962963,99.62962962962963
