feature,tree,knn,gnb,lda
1,67.5925925925926,67.5925925925926,64.44444444444444,57.96296296296296
2,94.62962962962963,96.11111111111111,89.07407407407408,91.66666666666666
3,100.0,100.0,100.0,100.0
4,99.81481481481481,100.0,100.0,100.0
5,99.81481481481481,100.0,100.0,100.0
6,99.81481481481481,100.0,100.0,100.0
7,100.0,100.0,100.0,100.0
8,100.0,100.0,100.0,100.0
9,100.0,100.0,100.0,100.0
10,100.0,100.0,100.0,100.0
11,100.0,100.0,100.0,100.0
12,100.0,100.0,100.0,100.0
13,99.81481481481481,100.0,100.0,100.0
14,99.81481481481481,100.0,100.0,100.0
15,99.81481481481481,100.0,99.62962962962963,100.0
16,99.81481481481481,100.0,99.62962962962963,100.0
17,99.81481481481481,100.0,99.62962962962963,100.0
18,100.0,100.0,99.62962962962963,100.0
19,100.0,100.0,99.62962962962963,100.0
20,100.0,100.0,99.62962962962963,100.0
21,100.0,100.0,99.62962962962963,100.0
22,100.0,100.0,99.62962962962963,100.0
23,100.0,100.0,99.62962962962963,100.0
24,99.81481481481481,100.0,99.62962962962963,100.0
25,99.81481481481481,100.0,99.62962962962963,100.0
26,100.0,100.0,99.62962962962963,100.0
27,100.0,100.0,99.62962962962963,100.0
28,100.0,100.0,99.62962962962963,100.0
29,100.0,100.0,99.62962962962963,100.0
30,99.81481481481481,100.0,99.62962962962963,100.0
31,100.0,100.0,99.62962962962963,100.0
32,100.0,100.0,99.62962962962963,100.0
33,100.0,100.0,99.62962962962963,100.0
34,100.0,100.0,99.62962962962963,99.62962962962963
