feature,tree,knn,gnb,lda
1,67.14471968709258,67.14471968709258,65.40634506736201,65.1890482398957
2,72.6205997392438,72.49022164276401,65.14558887440243,65.71056062581486
3,73.96784006953499,73.31594958713603,65.97131681877445,65.75401999130813
4,81.66014776184267,75.09778357235984,67.05780095610604,66.57974793568013
5,84.70230334637114,77.83572359843546,67.97044763146458,76.40156453715777
6,86.52759669708823,77.87918296392873,66.36245110821382,76.48848326814428
7,85.61495002172968,77.44458930899609,66.71012603215993,77.57496740547587
8,86.39721860060843,77.53150803998263,67.27509778357236,77.70534550195566
9,86.26684050412864,78.35723598435462,67.79661016949152,81.31247283789656
10,85.26727509778357,78.48761408083442,67.92698826597132,81.2690134724033
11,86.22338113863538,78.48761408083442,68.40504128639722,82.52933507170795
12,86.48413733159495,78.79182963928727,68.14428509343765,81.92090395480226
13,86.3102998696219,79.05258583224685,68.49196001738375,85.61495002172968
14,87.26640591047371,79.31334202520644,70.18687527162103,86.00608431116906
15,86.17992177314211,79.00912646675359,71.75141242937853,85.74532811820947
16,86.04954367666232,78.8787483702738,76.53194263363756,85.87570621468926
17,87.30986527596697,78.96566710126032,78.35723598435462,86.48413733159495
18,87.22294654498045,79.18296392872664,78.4006953498479,86.70143415906128
19,86.17992177314211,79.2264232942199,81.83398522381573,86.74489352455454
20,85.91916558018254,79.13950456323337,81.92090395480226,86.74489352455454
21,86.65797479356802,79.18296392872664,82.52933507170795,87.48370273794002
22,86.26684050412864,79.18296392872664,80.48674489352456,87.35332464146023
23,87.48370273794002,79.40026075619296,78.8787483702738,88.00521512385919
24,87.26640591047371,79.26988265971316,81.48631029986963,88.17905258583225
25,86.65797479356802,79.26988265971316,79.05258583224685,88.17905258583225
26,87.35332464146023,79.13950456323337,78.6179921773142,88.43980877879183
27,87.00564971751412,79.00912646675359,82.13820078226858,88.39634941329857
28,86.57105606258149,79.26988265971316,81.83398522381573,88.3528900478053
29,87.1360278139939,79.3568013906997,82.13820078226858,87.8748370273794
30,88.00521512385919,79.18296392872664,81.39939156888309,88.13559322033898
31,86.52759669708823,79.31334202520644,80.05215123859192,87.96175575836592
32,87.61408083441981,79.31334202520644,79.87831377661885,87.8748370273794
33,88.09213385484573,79.31334202520644,81.05171664493699,87.83137766188614
34,87.91829639287266,79.61755758365928,80.96479791395046,88.26597131681876
35,86.4406779661017,79.57409821816601,80.53020425901782,88.09213385484573
36,86.52759669708823,79.57409821816601,79.3568013906997,88.04867448935245
37,86.70143415906128,79.61755758365928,82.22511951325511,88.26597131681876
38,87.22294654498045,79.61755758365928,83.70273794002607,88.17905258583225
39,87.26640591047371,79.48717948717949,84.83268144285093,88.09213385484573
40,87.09256844850066,79.53063885267275,85.57149065623642,88.00521512385919
41,87.61408083441981,79.44372012168623,84.57192524989135,88.09213385484573
42,86.91873098652759,79.44372012168623,83.70273794002607,88.09213385484573
43,87.57062146892656,79.57409821816601,83.78965667101261,88.09213385484573
44,87.70099956540635,79.44372012168623,83.83311603650587,88.04867448935245
45,87.52716210343328,79.53063885267275,82.48587570621469,88.00521512385919
46,86.39721860060843,79.53063885267275,83.00738809213387,88.00521512385919
47,87.57062146892656,79.74793568013907,83.74619730551935,88.26597131681876
48,87.44024337244676,79.70447631464582,85.18035636679706,88.22251195132552
49,87.26640591047371,79.70447631464582,84.09387222946545,88.17905258583225
50,87.30986527596697,79.79139504563233,83.87657540199913,88.30943068231204
51,87.09256844850066,79.8348544111256,84.05041286397218,88.39634941329857
52,87.00564971751412,79.87831377661885,83.96349413298566,88.65710560625814
53,87.70099956540635,79.87831377661885,83.87657540199913,88.74402433724468
54,87.22294654498045,79.87831377661885,83.1812255541069,88.6136462407649
55,87.30986527596697,79.92177314211213,82.26857887874837,88.65710560625814
56,86.61451542807474,79.87831377661885,82.39895697522816,88.52672750977835
57,87.1360278139939,79.96523250760539,81.83398522381573,88.39634941329857
