feature,tree,knn,gnb,lda
1,4.336137871936283e-14,1.4453792906454277e-14,0.0,2.890758581290855e-14
2,4.336137871936283e-14,1.4453792906454277e-14,0.0,2.890758581290855e-14
3,4.336137871936283e-14,1.4453792906454277e-14,0.0,2.890758581290855e-14
4,4.336137871936283e-14,1.4453792906454277e-14,0.0,2.890758581290855e-14
5,4.336137871936283e-14,1.4453792906454277e-14,0.0,2.890758581290855e-14
6,4.336137871936283e-14,1.4453792906454277e-14,0.0,2.890758581290855e-14
7,4.336137871936283e-14,1.4453792906454277e-14,0.0,2.890758581290855e-14
8,4.336137871936283e-14,1.4453792906454277e-14,0.0,2.890758581290855e-14
9,4.336137871936283e-14,1.4453792906454277e-14,0.0,2.890758581290855e-14
10,4.336137871936283e-14,1.4453792906454277e-14,0.0,2.890758581290855e-14
11,4.336137871936283e-14,1.4453792906454277e-14,0.0,2.890758581290855e-14
12,4.336137871936283e-14,1.4453792906454277e-14,0.0,2.890758581290855e-14
13,4.336137871936283e-14,1.4453792906454277e-14,0.0,2.890758581290855e-14
14,4.336137871936283e-14,1.4453792906454277e-14,0.0,2.890758581290855e-14
15,4.336137871936283e-14,1.4453792906454277e-14,0.0,2.890758581290855e-14
16,4.336137871936283e-14,1.4453792906454277e-14,0.0,2.890758581290855e-14
17,4.336137871936283e-14,1.4453792906454277e-14,0.0,2.890758581290855e-14
18,4.336137871936283e-14,1.4453792906454277e-14,0.0,2.890758581290855e-14
19,4.336137871936283e-14,1.4453792906454277e-14,0.0,2.890758581290855e-14
20,4.336137871936283e-14,1.4453792906454277e-14,0.0,2.890758581290855e-14
21,4.336137871936283e-14,1.4453792906454277e-14,0.0,2.890758581290855e-14
22,4.336137871936283e-14,1.4453792906454277e-14,0.0,2.890758581290855e-14
23,4.336137871936283e-14,1.4453792906454277e-14,0.0,2.890758581290855e-14
24,4.336137871936283e-14,1.4453792906454277e-14,0.0,2.890758581290855e-14
25,4.336137871936283e-14,1.4453792906454277e-14,0.0,2.890758581290855e-14
26,4.336137871936283e-14,1.4453792906454277e-14,0.0,2.890758581290855e-14
27,4.336137871936283e-14,1.4453792906454277e-14,0.0,2.890758581290855e-14
28,4.336137871936283e-14,1.4453792906454277e-14,0.0,2.890758581290855e-14
29,4.336137871936283e-14,1.4453792906454277e-14,0.0,2.890758581290855e-14
30,4.336137871936283e-14,1.4453792906454277e-14,0.0,2.890758581290855e-14
