feature,tree,knn,gnb,lda
1,52.16,52.16,58.879999999999995,58.68
2,83.39999999999999,82.0,82.8,86.36
3,82.44,82.16,82.8,86.28
4,81.64,82.08,82.96,86.56
5,82.24000000000001,81.67999999999999,82.84,86.48
6,82.72,81.64,82.96,86.36
7,81.56,81.47999999999999,82.56,86.08
8,81.52000000000001,81.76,82.39999999999999,86.11999999999999
9,82.16,81.64,82.56,86.28
10,81.67999999999999,81.44,82.76,86.11999999999999
11,81.0,82.32000000000001,82.72,85.84
12,82.04,81.16,82.72,85.88
13,81.0,81.36,82.64,85.92
14,81.32000000000001,80.32000000000001,82.64,85.68
15,82.48,79.96,82.8,85.72
16,81.12,79.88,82.72,85.68
17,81.39999999999999,80.47999999999999,82.56,85.56
18,81.44,79.67999999999999,82.56,85.56
19,82.6,79.80000000000001,82.67999999999999,85.6
20,83.0,79.2,82.64,85.48
21,82.67999999999999,79.24,82.67999999999999,85.48
22,82.48,79.72,82.64,85.6
23,82.72,79.03999999999999,82.56,85.88
24,81.96,78.03999999999999,82.67999999999999,85.88
25,82.44,78.16,82.76,85.96000000000001
26,82.36,77.36,82.48,85.92
27,82.28,77.72,82.67999999999999,85.64
28,82.36,76.84,82.76,85.8
29,82.24000000000001,77.48,82.72,85.72
30,81.56,78.4,82.39999999999999,85.52
31,82.04,78.64,82.52000000000001,85.64
32,81.84,78.52,82.28,85.44
33,81.6,76.6,82.36,85.8
34,82.72,76.84,82.39999999999999,85.96000000000001
35,81.88,76.55999999999999,82.08,85.72
36,82.16,75.96000000000001,82.24000000000001,85.84
37,81.24,76.55999999999999,81.96,85.84
38,81.08,77.12,82.39999999999999,85.8
39,80.92,77.32,82.32000000000001,85.72
40,81.44,77.0,82.24000000000001,85.64
