feature,tree,knn,gnb,lda
1,51.839999999999996,51.839999999999996,60.919999999999995,57.879999999999995
2,83.24000000000001,82.0,82.8,86.36
3,83.52000000000001,82.96,82.84,86.4
4,84.04,83.24000000000001,82.76,86.28
5,83.08,82.76,82.64,86.32
6,82.6,81.16,82.8,86.32
7,82.32000000000001,81.6,82.88,86.36
8,83.24000000000001,82.0,82.72,86.36
9,83.04,81.36,82.92,86.32
10,82.88,80.64,82.84,86.36
11,82.04,80.47999999999999,82.76,86.8
12,82.32000000000001,80.12,82.84,86.64
13,83.0,80.36,83.16,86.76
14,82.84,80.44,83.24000000000001,86.72
15,82.76,79.80000000000001,83.16,86.83999999999999
16,82.36,79.60000000000001,82.88,86.56
17,82.32000000000001,79.24,82.96,86.36
18,82.67999999999999,78.72,82.92,86.44
19,82.64,78.96,82.96,86.36
20,82.04,79.64,82.8,86.44
21,82.19999999999999,78.44,82.8,86.48
22,81.44,78.84,82.8,86.48
23,81.96,77.84,82.64,86.44
24,81.36,78.52,82.64,86.28
25,81.47999999999999,77.96,82.56,86.24000000000001
26,82.12,77.4,82.12,86.08
27,81.2,77.68,82.12,86.04
28,81.76,78.48,82.28,86.08
29,81.16,77.60000000000001,82.52000000000001,86.28
30,80.80000000000001,77.96,82.44,86.11999999999999
31,81.47999999999999,78.2,82.28,86.44
32,81.24,77.64,82.44,86.0
33,81.28,78.0,82.28,86.11999999999999
34,81.36,77.68,82.19999999999999,85.6
35,80.92,77.44,81.84,85.72
36,81.36,77.32,81.8,85.8
37,81.39999999999999,77.03999999999999,82.0,85.96000000000001
38,81.56,77.24,82.08,85.76
39,82.0,76.6,82.16,85.72
40,81.47999999999999,77.0,82.24000000000001,85.64
