feature,tree,knn,gnb,lda
1,33.72,33.72,34.52,35.120000000000005
2,33.48,33.48,34.4,34.28
3,33.48,34.8,33.52,33.96
4,35.0,34.4,33.64,33.92
5,33.040000000000006,33.800000000000004,34.32,34.160000000000004
6,34.8,33.44,34.48,34.8
7,33.56,33.08,35.480000000000004,35.199999999999996
8,35.24,33.68,35.24,35.839999999999996
9,33.68,33.52,34.72,36.28
10,32.440000000000005,34.239999999999995,34.48,36.24
11,33.4,33.08,34.44,35.8
12,31.8,33.44,34.36,35.8
13,32.28,33.92,34.2,35.480000000000004
14,34.32,34.0,33.56,35.36
15,32.32,33.839999999999996,34.36,35.24
16,34.0,34.160000000000004,33.4,34.72
17,32.879999999999995,33.239999999999995,33.36,34.239999999999995
18,33.72,33.32,33.0,34.32
19,33.96,31.680000000000003,33.040000000000006,34.88
20,32.6,31.52,32.6,34.599999999999994
21,34.239999999999995,31.2,32.84,34.2
22,32.24,31.28,33.28,34.32
23,32.24,30.759999999999998,33.800000000000004,34.56
24,31.6,31.840000000000003,34.0,34.36
25,33.72,31.6,34.12,34.4
26,33.12,32.16,33.839999999999996,34.64
27,34.239999999999995,33.0,33.48,34.72
28,34.68,33.0,33.0,34.92
29,34.56,33.48,33.48,34.92
30,34.239999999999995,32.64,33.36,34.32
31,51.88,52.28,60.040000000000006,58.24
32,52.12,51.72,60.28,58.24
33,51.32,51.519999999999996,60.28,57.99999999999999
34,52.32,51.64,60.440000000000005,58.120000000000005
35,53.04,52.2,60.24,58.040000000000006
36,52.12,52.28,60.040000000000006,58.120000000000005
37,52.68000000000001,51.800000000000004,59.8,58.08
38,82.04,77.24,82.08,85.76
39,82.0,76.6,82.16,85.72
40,81.6,77.0,82.24000000000001,85.64
