feature,tree,knn,gnb,lda
1,57.99999999999999,52.75,60.375,61.75000000000001
2,57.99999999999999,52.75,60.375,61.75000000000001
3,57.99999999999999,52.75,60.375,61.75000000000001
4,57.99999999999999,52.75,60.375,61.75000000000001
5,57.99999999999999,52.75,60.375,61.75000000000001
6,57.99999999999999,52.75,60.375,61.75000000000001
7,57.99999999999999,52.75,60.375,61.75000000000001
8,57.99999999999999,52.75,60.375,61.75000000000001
9,57.99999999999999,52.75,60.375,61.75000000000001
10,57.99999999999999,52.75,60.375,61.75000000000001
11,57.99999999999999,52.75,60.375,61.75000000000001
