feature,tree,knn,gnb,lda
1,51.625,51.625,54.87499999999999,57.49999999999999
2,57.62500000000001,56.875,59.12500000000001,58.12500000000001
3,57.99999999999999,57.875,59.25,60.12499999999999
4,58.25,57.75,58.25,60.75000000000001
5,57.49999999999999,54.37499999999999,57.125,60.12499999999999
6,55.875,55.50000000000001,57.62500000000001,61.0
7,55.125,55.375,59.12500000000001,61.0
8,57.375,54.625,58.75,60.62499999999999
9,58.12500000000001,52.75,59.375,62.375
10,56.00000000000001,52.75,59.75,62.25000000000001
11,58.12500000000001,52.75,59.875,61.75000000000001
