feature,tree,knn,gnb,lda
1,56.49999999999999,53.0,59.5,59.12500000000001
2,56.49999999999999,53.0,59.5,59.12500000000001
3,56.49999999999999,53.0,59.5,59.12500000000001
4,56.49999999999999,53.0,59.5,59.12500000000001
5,56.49999999999999,53.0,59.5,59.12500000000001
6,56.49999999999999,53.0,59.5,59.12500000000001
7,56.49999999999999,53.0,59.5,59.12500000000001
8,56.49999999999999,53.0,59.5,59.12500000000001
9,56.49999999999999,53.0,59.5,59.12500000000001
10,56.49999999999999,53.0,59.5,59.12500000000001
11,56.49999999999999,53.0,59.5,59.12500000000001
