feature,tree,knn,gnb,lda
1,7.452235082682191e-15,7.452235082682191e-15,7.452235082682191e-15,0.0
2,7.452235082682191e-15,7.452235082682191e-15,7.452235082682191e-15,0.0
3,7.452235082682191e-15,7.452235082682191e-15,7.452235082682191e-15,0.0
4,7.452235082682191e-15,7.452235082682191e-15,7.452235082682191e-15,0.0
5,7.452235082682191e-15,7.452235082682191e-15,7.452235082682191e-15,0.0
6,7.452235082682191e-15,7.452235082682191e-15,7.452235082682191e-15,0.0
7,7.452235082682191e-15,7.452235082682191e-15,7.452235082682191e-15,0.0
8,7.452235082682191e-15,7.452235082682191e-15,7.452235082682191e-15,0.0
9,7.452235082682191e-15,7.452235082682191e-15,7.452235082682191e-15,0.0
10,7.452235082682191e-15,7.452235082682191e-15,7.452235082682191e-15,0.0
11,7.452235082682191e-15,7.452235082682191e-15,7.452235082682191e-15,0.0
