feature,tree,knn,gnb,lda
1,44.9162923642303,47.77460187831768,41.77215189873418,44.87545937117191
2,48.18293180890159,48.79542670477746,44.507962433646384,45.52878726010617
3,49.85708452429563,48.264597795018375,44.71212739893834,46.3046141282156
4,49.44875459371172,49.04042466312781,36.46386280114333,46.46794610044916
5,51.65373621886484,50.510412413229886,36.79052674561045,45.93711719069008
6,52.143732135565536,55.04287464271131,44.01796651694569,50.387913434054724
7,54.593711719069006,55.85953450387914,44.83462637811352,50.4695794201715
8,54.51204573295223,56.022866476112696,44.54879542670478,50.71457737852184
9,53.2053899550837,54.471212739893836,46.91710902409147,51.44957125357289
10,53.61371988566762,51.98040016333197,45.487954267047776,51.857901184156795
11,55.900367496937534,50.510412413229886,47.57043691302572,53.12372396896693
