feature,tree,knn,gnb,lda
1,49.85708452429563,49.897917517354024,47.40710494079216,47.856267864434464
2,51.16374030216415,52.30706410779911,49.407921600653324,49.93875051041241
3,54.471212739893836,52.34789710085749,48.877092690894244,50.67374438546346
4,54.471212739893836,52.55206206614945,49.816251531237235,50.06124948958759
5,55.41037158023683,52.55206206614945,50.10208248264598,52.67456104532462
6,53.981216823193144,52.55206206614945,48.060432829726416,52.71539403838301
7,55.532870559412004,52.55206206614945,47.48877092690894,52.30706410779911
8,54.87954267047775,51.77623519804002,47.366271947733765,52.26623111474071
9,54.593711719069006,51.65373621886484,48.264597795018375,52.38873009391588
10,54.920375663536134,51.65373621886484,48.75459371171907,52.756227031441405
11,57.32952225398121,50.510412413229886,47.57043691302572,53.12372396896693
