feature,tree,knn,gnb,lda
1,85.51851851851852,85.51851851851852,91.40740740740742,91.4074074074074
2,86.62962962962962,86.88888888888889,91.70370370370371,91.62962962962965
3,87.18518518518519,87.14814814814814,91.7037037037037,91.66666666666667
4,87.77777777777779,88.66666666666666,92.07407407407406,92.44444444444444
5,87.18518518518519,88.44444444444444,92.33333333333334,92.81481481481482
6,87.70370370370371,88.55555555555556,91.96296296296296,92.77777777777777
7,87.77777777777779,88.85185185185185,91.88888888888889,92.85185185185186
8,88.14814814814814,89.66666666666666,92.81481481481482,93.25925925925927
9,86.92592592592591,89.81481481481481,93.0,93.92592592592592
10,86.66666666666666,89.85185185185185,93.14814814814814,94.07407407407406
11,86.88888888888889,89.5185185185185,93.14814814814814,93.92592592592594
12,87.14814814814815,89.37037037037037,93.07407407407409,94.22222222222221
13,87.4074074074074,90.40740740740739,93.37037037037037,94.25925925925927
14,86.7037037037037,90.18518518518519,93.29629629629628,94.33333333333334
15,87.0,89.92592592592591,93.03703703703704,94.4814814814815
16,87.0,89.07407407407408,93.18518518518519,94.5185185185185
17,87.11111111111111,89.14814814814814,92.92592592592592,94.5925925925926
18,87.22222222222221,89.25925925925925,93.03703703703704,94.66666666666666
