feature,tree,knn,gnb,lda
1,3.306917048253641,1.9738145696652714,2.387180928270428,5.705752235699788
2,3.306917048253641,1.9738145696652714,2.387180928270428,5.705752235699788
3,3.306917048253641,1.9738145696652714,2.387180928270428,5.705752235699788
4,3.306917048253641,1.9738145696652714,2.387180928270428,5.705752235699788
5,3.306917048253641,1.9738145696652714,2.387180928270428,5.705752235699788
6,3.306917048253641,1.9738145696652714,2.387180928270428,5.705752235699788
7,3.306917048253641,1.9738145696652714,2.387180928270428,5.705752235699788
8,3.306917048253641,1.9738145696652714,2.387180928270428,5.705752235699788
9,3.306917048253641,1.9738145696652714,2.387180928270428,5.705752235699788
10,3.306917048253641,1.9738145696652714,2.387180928270428,5.705752235699788
11,3.306917048253641,1.9738145696652714,2.387180928270428,5.705752235699788
12,3.306917048253641,1.9738145696652714,2.387180928270428,5.705752235699788
13,3.306917048253641,1.9738145696652714,2.387180928270428,5.705752235699788
14,3.306917048253641,1.9738145696652714,2.387180928270428,5.705752235699788
15,3.306917048253641,1.9738145696652714,2.387180928270428,5.705752235699788
16,3.306917048253641,1.9738145696652714,2.387180928270428,5.705752235699788
17,3.306917048253641,1.9738145696652714,2.387180928270428,5.705752235699788
18,3.306917048253641,1.9738145696652714,2.387180928270428,5.705752235699788
19,3.306917048253641,1.9738145696652714,2.387180928270428,5.705752235699788
