feature,tree,knn,gnb,lda
1,50.260416666666664,50.20833333333333,51.78819444444444,52.32638888888889
2,51.14583333333333,52.430555555555564,51.510416666666664,52.20486111111111
3,53.003472222222214,51.97916666666667,51.94444444444444,51.788194444444436
4,55.13888888888889,53.541666666666664,52.76041666666667,51.97916666666667
5,55.53819444444444,54.93055555555554,54.75694444444444,52.32638888888889
6,57.56944444444444,55.85069444444444,55.60763888888889,52.93402777777776
7,58.45486111111111,56.527777777777786,57.93402777777777,53.66319444444444
8,59.70486111111112,56.82291666666667,60.052083333333336,53.958333333333336
9,60.29513888888888,56.04166666666667,63.10763888888889,55.13888888888889
10,61.510416666666664,57.36111111111112,63.4375,55.9375
11,62.152777777777786,59.04513888888889,65.20833333333334,57.88194444444444
12,61.909722222222214,60.19097222222223,65.81597222222223,59.166666666666664
13,63.940972222222214,61.00694444444444,65.74652777777777,61.49305555555556
14,63.31597222222224,61.40625,65.10416666666666,62.239583333333336
15,62.934027777777786,60.92013888888889,65.01736111111111,62.5
16,64.70486111111111,60.833333333333336,64.77430555555556,65.15625
17,64.82638888888889,63.125,65.0,71.14583333333333
18,64.56597222222221,63.57638888888889,64.96527777777777,72.15277777777777
19,65.20833333333334,61.649305555555564,65.06944444444444,72.10069444444444
