feature,tree,knn,gnb,lda
1,53.559027777777786,53.559027777777786,60.05208333333333,59.75694444444444
2,58.73263888888889,57.96875,61.00694444444444,60.6423611111111
3,63.57638888888889,61.527777777777786,66.42361111111111,66.73611111111111
4,64.13194444444444,61.26736111111111,66.61458333333333,68.17708333333334
5,64.49652777777779,61.57986111111112,66.70138888888889,70.64236111111111
6,63.92361111111111,61.770833333333336,64.77430555555556,70.22569444444443
7,65.43402777777777,61.78819444444444,65.06944444444444,71.2326388888889
8,66.47569444444444,61.73611111111112,65.52083333333334,71.38888888888889
9,65.45138888888889,61.59722222222223,65.39930555555556,71.97916666666666
10,65.90277777777776,61.63194444444444,65.69444444444446,71.35416666666667
11,65.19097222222223,61.82291666666665,66.3888888888889,71.63194444444444
12,64.73958333333333,61.80555555555554,66.54513888888889,71.49305555555557
13,65.65972222222223,61.77083333333333,67.30902777777779,71.35416666666666
14,64.37500000000001,61.64930555555556,67.27430555555556,71.31944444444444
15,65.36458333333334,61.649305555555564,67.84722222222221,71.73611111111111
16,65.60763888888889,61.649305555555564,66.42361111111111,71.64930555555556
17,65.90277777777779,61.649305555555564,66.00694444444446,71.68402777777777
18,65.38194444444444,61.649305555555564,66.12847222222221,71.89236111111111
19,65.38194444444446,61.649305555555564,65.06944444444444,72.10069444444444
