feature,tree,knn,gnb,lda
1,57.32638888888889,57.30902777777777,61.75347222222223,57.13541666666667
2,60.06944444444446,57.430555555555564,61.979166666666664,60.104166666666664
3,60.46875,59.20138888888889,62.10069444444444,60.90277777777776
4,61.666666666666664,60.121527777777786,62.5,62.447916666666664
5,63.00347222222223,61.07638888888889,61.77083333333333,62.25694444444446
6,63.03819444444444,61.215277777777786,62.239583333333336,63.246527777777786
7,65.22569444444444,62.031249999999986,62.32638888888889,65.3472222222222
8,64.67013888888889,61.996527777777786,62.67361111111111,67.13541666666667
9,64.84374999999999,62.20486111111112,63.229166666666664,67.32638888888889
10,65.05208333333334,62.39583333333333,63.05555555555556,67.89930555555556
11,64.56597222222223,61.85763888888888,62.60416666666667,68.69791666666667
12,64.09722222222223,62.10069444444444,62.708333333333336,68.92361111111111
13,65.24305555555556,62.031249999999986,62.98611111111111,69.72222222222224
14,65.46874999999999,61.80555555555554,63.28125,70.08680555555556
15,64.84375,61.875,63.90625,70.05208333333334
16,64.60069444444444,61.38888888888888,64.21875000000001,71.11111111111111
17,65.08680555555556,61.30208333333335,64.51388888888889,71.42361111111111
18,63.92361111111111,61.718750000000014,64.61805555555557,71.8402777777778
19,64.65277777777777,61.649305555555564,65.06944444444444,72.10069444444444
