feature,tree,knn,gnb,lda
1,11.547,11.548,5.496999999999999,5.247000000000001
2,19.940000000000005,20.282000000000004,16.22,14.756
3,37.64799999999999,38.45,24.954,24.008000000000003
4,54.77199999999999,58.47700000000001,36.535999999999994,34.767999999999994
5,62.968999999999994,69.832,41.249,40.875
6,70.404,80.26,49.192,49.622
7,72.634,84.68499999999999,54.57199999999999,53.602999999999994
8,73.806,87.20599999999999,58.26300000000001,57.13199999999999
9,74.008,88.329,59.80800000000001,58.926
10,74.66699999999999,89.86600000000001,61.342999999999996,61.862
11,74.84299999999999,90.63499999999999,62.29600000000001,63.359
12,75.18900000000001,92.068,63.83900000000001,66.475
13,75.024,92.626,64.321,67.481
14,75.273,93.32900000000002,65.405,68.34899999999999
15,75.12100000000001,93.83100000000002,66.77900000000001,69.43699999999998
16,74.997,94.293,68.24,70.126
