feature,tree,knn,gnb,lda
1,16.517000000000003,16.515000000000004,14.38,13.195999999999998
2,29.060000000000002,29.598000000000003,23.82,22.606
3,49.349999999999994,52.355999999999995,34.785000000000004,32.819
4,61.35,68.25300000000001,42.43900000000001,41.24699999999999
5,68.035,77.656,47.37400000000001,46.839000000000006
6,71.85499999999999,84.286,52.161,51.746
7,73.318,87.85499999999999,56.54,55.83399999999999
8,74.30000000000001,88.91199999999999,58.55200000000001,58.189
9,75.21300000000001,90.19800000000001,60.202,61.123000000000005
10,75.41,91.16300000000001,61.78599999999999,63.63100000000001
11,75.40399999999998,92.232,63.539,65.326
12,75.439,92.888,65.026,67.07000000000001
13,75.014,93.38399999999999,65.888,68.08
14,75.311,93.91399999999999,67.39899999999999,69.13399999999999
15,75.113,94.09799999999998,68.157,69.66099999999999
16,74.94699999999999,94.262,68.24,70.126
