feature,tree,knn,gnb,lda
1,64.33333333333333,64.33333333333333,66.4814814814815,62.074074074074076
2,95.44444444444444,96.70370370370372,83.4074074074074,95.27777777777779
3,98.83333333333333,99.96296296296296,92.87037037037035,99.90740740740742
4,99.64814814814814,100.0,98.05555555555556,100.0
5,99.87037037037037,100.0,98.98148148148148,100.0
6,99.85185185185185,100.0,99.05555555555556,100.0
7,99.85185185185185,100.0,100.0,100.0
8,99.87037037037037,100.0,100.0,100.0
9,99.92592592592592,100.0,100.0,100.0
10,99.85185185185185,100.0,100.0,100.0
11,99.88888888888889,100.0,100.0,100.0
12,99.85185185185185,100.0,100.0,100.0
13,99.87037037037037,100.0,100.0,100.0
14,99.87037037037037,100.0,100.0,100.0
15,99.87037037037037,100.0,100.0,100.0
16,99.88888888888889,100.0,99.98148148148148,100.0
17,99.92592592592592,100.0,99.98148148148148,100.0
18,99.88888888888889,100.0,99.98148148148148,100.0
19,99.85185185185185,100.0,99.94444444444443,100.0
20,99.9074074074074,100.0,99.88888888888889,100.0
21,99.92592592592592,100.0,99.85185185185183,100.0
22,99.83333333333333,100.0,99.81481481481481,100.0
23,99.87037037037035,100.0,99.81481481481481,100.0
24,99.88888888888889,100.0,99.81481481481481,100.0
25,99.92592592592592,100.0,99.81481481481481,100.0
26,99.88888888888889,100.0,99.79629629629629,100.0
27,99.87037037037037,100.0,99.79629629629629,100.0
28,99.88888888888889,100.0,99.79629629629629,99.85185185185185
29,99.9074074074074,100.0,99.79629629629629,99.75925925925927
30,99.88888888888889,100.0,99.77777777777779,98.74074074074075
31,99.87037037037035,100.0,99.77777777777779,98.85185185185185
32,99.92592592592592,100.0,99.77777777777779,98.35185185185185
33,99.83333333333333,100.0,99.77777777777779,97.75925925925925
34,99.88888888888889,100.0,99.77777777777779,96.92592592592594
