feature,tree,knn,gnb,lda
1,68.61111111111111,68.61111111111111,71.57407407407408,69.37037037037038
2,91.53703703703704,92.72222222222223,82.64814814814815,91.87037037037037
3,98.46296296296296,99.61111111111111,94.81481481481481,99.42592592592592
4,99.9074074074074,100.0,100.0,100.0
5,99.9074074074074,100.0,100.0,100.0
6,99.85185185185185,100.0,100.0,100.0
7,99.9074074074074,100.0,100.0,100.0
8,99.87037037037037,100.0,100.0,100.0
9,99.92592592592592,100.0,99.98148148148148,100.0
10,99.85185185185185,100.0,99.92592592592591,100.0
11,99.88888888888889,100.0,99.88888888888889,100.0
12,99.88888888888889,100.0,99.88888888888889,100.0
13,99.92592592592592,100.0,99.87037037037037,100.0
14,99.85185185185185,100.0,99.87037037037037,100.0
15,99.87037037037037,100.0,99.87037037037037,100.0
16,99.83333333333333,100.0,99.87037037037037,100.0
17,99.88888888888889,100.0,99.81481481481481,100.0
18,99.92592592592592,100.0,99.81481481481481,100.0
19,99.9074074074074,100.0,99.83333333333333,100.0
20,99.88888888888889,100.0,99.83333333333333,100.0
21,99.88888888888889,100.0,99.79629629629628,100.0
22,99.92592592592592,100.0,99.79629629629628,100.0
23,99.88888888888889,100.0,99.77777777777776,100.0
24,99.85185185185185,100.0,99.77777777777776,100.0
25,99.88888888888889,100.0,99.74074074074073,100.0
26,99.9074074074074,100.0,99.75925925925927,100.0
27,99.92592592592592,100.0,99.74074074074073,100.0
28,99.87037037037035,100.0,99.74074074074073,100.0
29,99.88888888888889,100.0,99.77777777777779,100.0
30,99.87037037037037,100.0,99.77777777777779,99.0
31,99.87037037037037,100.0,99.77777777777779,98.55555555555554
32,99.9074074074074,100.0,99.77777777777779,97.09259259259258
33,99.88888888888889,100.0,99.77777777777779,95.57407407407406
34,99.87037037037037,100.0,99.77777777777779,95.90740740740742
