feature,tree,knn,gnb,lda
1,68.78748370273793,68.78748370273794,70.56497175141243,67.9269882659713
2,76.94480660582356,76.33202955236854,68.67448935245545,69.85658409387221
3,80.97783572359842,77.06649282920469,70.87787918296392,71.56453715775748
4,83.13342025206433,77.509778357236,71.82529335071709,72.74228596262495
5,83.78096479791395,77.22729248152977,71.4819643633203,73.99391568883094
6,84.60234680573663,77.57931334202519,71.22555410691004,75.20643198609301
7,84.96740547588004,77.87049109083007,71.75575836592786,75.8800521512386
8,85.06301607996524,77.92698826597132,72.38157322903085,77.6271186440678
9,85.51064754454585,78.2833550630161,73.62016514558889,78.41807909604519
10,85.8496305953933,78.3528900478053,74.24163407214255,78.54411125597566
11,86.00608431116906,78.56149500217296,74.63276836158192,78.74837027379401
12,85.7844415471534,78.60930030421555,75.85397653194262,79.0265102129509
13,86.14080834419818,78.63537592351152,76.61886136462407,80.75184702303348
14,86.032159930465,78.55714906562365,77.19252498913515,80.69100391134289
15,86.17992177314211,78.63972186006086,78.34854411125596,81.32551064754453
16,86.21468926553672,78.64841373315952,79.0612777053455,81.30812690134725
17,86.32768361581921,78.63537592351152,78.41373315949586,81.68187744458932
18,86.20165145588875,78.72664059104736,79.0438939591482,82.02520643198609
19,86.58843980877879,78.79182963928727,79.51325510647544,82.90308561495002
20,86.6232073011734,78.92220773576705,79.67405475880054,83.08561495002172
21,86.41025641025641,78.8613646240765,79.64363320295524,83.0465015210778
22,86.67535853976531,78.99608865710562,79.82181660147762,83.58539765319426
23,86.6058235549761,79.03954802259886,79.80877879182964,83.7375054324207
24,86.54063450673621,79.20034767492393,79.85223815732292,84.52411994784877
25,86.7057800956106,79.1568883094307,80.5432420686658,84.92829204693611
26,86.79269882659712,79.23511516731858,80.39982616253802,85.29335071707955
27,86.7362016514559,79.27422859626249,79.9000434593655,85.59322033898306
28,86.82746631899174,79.23946110386788,80.68665797479358,85.95827900912647
29,86.84050412863972,79.2264232942199,81.9122120817036,86.2103433289874
30,86.7057800956106,79.23946110386787,81.90786614515429,86.27118644067797
31,86.54932637983484,79.29161234245979,81.464580617123,86.34072142546718
32,86.7362016514559,79.26988265971318,82.55975662755324,86.53628857018688
33,86.7057800956106,79.31768796175575,82.51629726205996,86.49717514124293
34,87.06649282920469,79.36983920034768,82.52933507170796,86.55367231638418
35,86.71881790525859,79.39591481964365,82.33376792698826,86.61886136462408
36,86.71881790525858,79.44372012168621,81.27770534550196,86.79704476314645
37,86.88830943068231,79.48283355063018,80.87353324641461,86.68405041286397
38,86.86657974793567,79.4393741851369,81.34289439374186,86.76227727075184
39,86.54932637983485,79.47848761408083,81.07344632768361,86.79269882659713
40,86.7709691438505,79.47848761408082,81.09952194697958,86.68405041286397
41,86.77096914385051,79.45241199478488,79.9174272055628,86.77531508039984
42,86.36245110821382,79.40026075619296,79.43068231203823,86.83615819209038
43,86.57974793568013,79.40895262929162,79.22642329421991,86.99261190786612
44,86.46240764884831,79.42633637548893,79.26119078661452,87.06214689265536
45,86.86223381138635,79.43068231203824,78.67014341590613,87.3142112125163
46,86.8361581920904,79.43068231203824,78.09647979139505,87.27509778357236
47,86.78400695349848,79.43502824858759,78.2355497609735,87.50977835723599
48,86.74054758800521,79.47848761408083,78.18339852238157,87.66623207301174
49,86.73185571490657,79.48283355063015,78.04432855280312,87.77488048674489
50,86.81442850934377,79.52194697957411,77.70099956540633,87.86614515428076
51,86.92307692307692,79.54802259887006,77.30551933941764,88.05302042590179
52,86.9534984789222,79.52629291612342,76.59713168187744,88.14428509343763
53,86.870925684485,79.54367666232073,76.18861364624075,88.21382007822686
54,86.77096914385052,79.54802259887006,75.85832246849196,88.13559322033898
55,86.74489352455454,79.63059539330725,75.61060408518036,88.11386353759235
56,86.91003911342894,79.63059539330726,75.65840938722296,88.1051716644937
57,86.73185571490657,79.66101694915254,75.39765319426337,88.2051282051282
