feature,tree,knn,gnb,lda
1,2.890758581290855e-14,1.4453792906454277e-14,4.336137871936283e-14,2.890758581290855e-14
2,2.890758581290855e-14,1.4453792906454277e-14,4.336137871936283e-14,2.890758581290855e-14
3,2.890758581290855e-14,1.4453792906454277e-14,4.336137871936283e-14,2.890758581290855e-14
4,2.890758581290855e-14,1.4453792906454277e-14,4.336137871936283e-14,2.890758581290855e-14
5,2.890758581290855e-14,1.4453792906454277e-14,4.336137871936283e-14,2.890758581290855e-14
6,2.890758581290855e-14,1.4453792906454277e-14,4.336137871936283e-14,2.890758581290855e-14
7,2.890758581290855e-14,1.4453792906454277e-14,4.336137871936283e-14,2.890758581290855e-14
8,2.890758581290855e-14,1.4453792906454277e-14,4.336137871936283e-14,2.890758581290855e-14
9,2.890758581290855e-14,1.4453792906454277e-14,4.336137871936283e-14,2.890758581290855e-14
10,2.890758581290855e-14,1.4453792906454277e-14,4.336137871936283e-14,2.890758581290855e-14
11,2.890758581290855e-14,1.4453792906454277e-14,4.336137871936283e-14,2.890758581290855e-14
12,2.890758581290855e-14,1.4453792906454277e-14,4.336137871936283e-14,2.890758581290855e-14
13,2.890758581290855e-14,1.4453792906454277e-14,4.336137871936283e-14,2.890758581290855e-14
14,2.890758581290855e-14,1.4453792906454277e-14,4.336137871936283e-14,2.890758581290855e-14
15,2.890758581290855e-14,1.4453792906454277e-14,4.336137871936283e-14,2.890758581290855e-14
16,2.890758581290855e-14,1.4453792906454277e-14,4.336137871936283e-14,2.890758581290855e-14
17,2.890758581290855e-14,1.4453792906454277e-14,4.336137871936283e-14,2.890758581290855e-14
18,2.890758581290855e-14,1.4453792906454277e-14,4.336137871936283e-14,2.890758581290855e-14
19,2.890758581290855e-14,1.4453792906454277e-14,4.336137871936283e-14,2.890758581290855e-14
20,2.890758581290855e-14,1.4453792906454277e-14,4.336137871936283e-14,2.890758581290855e-14
21,2.890758581290855e-14,1.4453792906454277e-14,4.336137871936283e-14,2.890758581290855e-14
22,2.890758581290855e-14,1.4453792906454277e-14,4.336137871936283e-14,2.890758581290855e-14
23,2.890758581290855e-14,1.4453792906454277e-14,4.336137871936283e-14,2.890758581290855e-14
24,2.890758581290855e-14,1.4453792906454277e-14,4.336137871936283e-14,2.890758581290855e-14
25,2.890758581290855e-14,1.4453792906454277e-14,4.336137871936283e-14,2.890758581290855e-14
26,2.890758581290855e-14,1.4453792906454277e-14,4.336137871936283e-14,2.890758581290855e-14
27,2.890758581290855e-14,1.4453792906454277e-14,4.336137871936283e-14,2.890758581290855e-14
28,2.890758581290855e-14,1.4453792906454277e-14,4.336137871936283e-14,2.890758581290855e-14
29,2.890758581290855e-14,1.4453792906454277e-14,4.336137871936283e-14,2.890758581290855e-14
30,2.890758581290855e-14,1.4453792906454277e-14,4.336137871936283e-14,2.890758581290855e-14
