feature,tree,knn,gnb,lda
1,54.49122807017545,54.31578947368422,63.263157894736835,63.017543859649116
2,56.736842105263165,56.03508771929825,63.50877192982455,63.05263157894738
3,55.29824561403509,56.877192982456144,63.61403508771929,62.59649122807017
4,56.31578947368422,57.228070175438596,63.33333333333333,62.66666666666665
5,57.33333333333333,57.40350877192983,63.859649122807014,63.122807017543856
6,58.49122807017544,58.45614035087719,63.50877192982456,63.40350877192983
7,59.017543859649116,60.526315789473685,64.87719298245614,63.61403508771931
8,58.912280701754376,60.982456140350884,64.63157894736842,63.228070175438596
9,60.771929824561404,61.6140350877193,65.7543859649123,64.0701754385965
10,61.40350877192982,65.2982456140351,67.50877192982455,63.89473684210526
11,62.77192982456139,64.3157894736842,68.0,64.17543859649122
12,61.438596491228076,64.98245614035088,68.59649122807016,63.89473684210526
13,63.1578947368421,64.63157894736841,69.08771929824562,63.859649122807014
14,62.80701754385964,65.01754385964912,69.54385964912282,64.91228070175438
15,64.35087719298247,64.7719298245614,70.59649122807018,66.45614035087719
16,65.71929824561406,67.71929824561404,71.71929824561403,68.42105263157895
17,67.33333333333334,68.59649122807016,72.49122807017542,68.91228070175438
18,66.7017543859649,68.42105263157895,72.52631578947368,69.29824561403508
19,68.56140350877192,69.05263157894737,73.36842105263156,69.36842105263159
20,71.12280701754386,70.35087719298245,74.21052631578947,69.6842105263158
21,71.40350877192982,71.19298245614034,75.96491228070177,70.17543859649122
22,71.15789473684211,71.08771929824562,75.96491228070174,71.01754385964912
23,71.05263157894737,69.2982456140351,76.52631578947368,73.89473684210526
24,71.92982456140349,68.49122807017542,76.66666666666666,76.35087719298245
25,72.3157894736842,68.3157894736842,76.56140350877192,76.35087719298245
26,72.87719298245614,70.49122807017542,76.42105263157893,77.75438596491229
27,75.9298245614035,74.80701754385964,77.43859649122807,78.42105263157895
28,85.33333333333334,86.14035087719299,86.03508771929825,87.54385964912281
29,90.66666666666664,89.96491228070175,90.14035087719299,94.80701754385964
30,91.01754385964912,91.40350877192981,89.64912280701756,94.66666666666666
