feature,tree,knn,gnb,lda
1,47.54593711719069,47.54593711719069,45.22253981216822,45.11229073091058
2,48.44834626378113,49.13025724785626,45.1572070232748,45.18170681910984
3,51.16782360147,50.57982850142916,47.41935483870968,47.98285014291547
4,53.24213964883626,51.9518170681911,49.38750510412413,50.17558187015108
5,53.523887300939144,52.008983258472846,49.52633728052266,50.40016333197224
6,53.66271947733768,52.01306655777868,49.95916700694161,50.55124540628828
7,53.862801143323814,52.008983258472846,50.53899550837076,51.45365455287872
8,54.29154757043691,51.96406696610861,50.65332788893426,52.11106574111882
9,54.48346263781135,51.98448346263782,50.56757860351164,52.474479379338504
10,54.21396488362598,51.98448346263782,50.653327888934264,52.67047774601879
11,54.38138015516537,51.98448346263782,48.399346672111065,52.658227848101276
