feature,tree,knn,gnb,lda
1,46.64352797060023,46.643527970600246,45.177623519804,45.18579011841569
2,47.87668436096366,47.76235198040016,45.357288689260926,45.71661902817476
3,47.72560228664761,47.627603103307464,43.60963658636178,45.72478562678644
4,49.54675377705185,48.64026133115557,42.59697835851368,45.467537770518575
5,51.053491220906494,49.12209064924458,42.874642711310734,46.116782360147006
6,51.41690485912617,49.87341772151899,43.69946917109024,46.63944467129441
7,52.14781543487137,50.808493262556155,45.30828909759085,47.933850551245406
8,52.07839934667211,50.81665986116783,45.51653736218865,48.689260922825646
9,54.49571253572886,51.98040016333198,48.07268272764394,51.48223764801959
10,54.238464679461,51.99673336055533,47.64393630053083,51.51082074316048
11,54.28746427113107,51.98448346263782,48.399346672111065,52.658227848101276
