feature,tree,knn,gnb,lda
1,85.74444444444445,85.74444444444445,91.48888888888901,91.44444444444456
2,86.58518518518518,86.7259259259259,91.45925925925935,91.488888888889
3,86.7074074074074,87.24814814814818,91.64814814814827,91.62592592592603
4,87.4,88.05185185185182,91.71481481481487,91.8555555555556
5,87.75555555555555,88.74074074074075,91.88888888888894,92.10740740740745
6,87.6666666666666,89.1074074074074,91.98888888888891,92.33333333333336
7,87.35925925925923,89.12592592592591,92.32592592592594,92.66296296296298
8,87.19629629629631,89.2925925925926,92.35925925925932,92.92962962962963
9,87.137037037037,89.4148148148148,92.51481481481481,93.2074074074074
10,87.1074074074074,89.3777777777778,92.48888888888888,93.30740740740741
11,86.95555555555556,89.28518518518518,92.5925925925926,93.46666666666665
12,86.99629629629628,89.22222222222223,92.67407407407408,93.54074074074073
13,86.85925925925925,89.31111111111109,92.79629629629632,93.74444444444441
14,86.88148148148152,88.96296296296293,92.74814814814812,93.8296296296296
15,86.99259259259256,88.91481481481478,92.82592592592592,93.92592592592591
16,86.69629629629628,88.8074074074074,92.87777777777778,94.14814814814814
17,86.75185185185184,88.8074074074074,92.9222222222222,94.2333333333333
18,86.78148148148144,88.95925925925921,93.03703703703701,94.50740740740738
