feature,tree,knn,gnb,lda
1,85.62592592592596,85.62592592592596,91.50000000000013,91.4925925925927
2,86.85185185185185,86.78148148148148,91.50370370370382,91.48518518518529
3,87.08518518518524,87.56666666666668,91.60740740740749,91.588888888889
4,87.51851851851852,88.44444444444443,91.77407407407419,91.9185185185186
5,87.82592592592592,89.05925925925925,92.05555555555561,92.21851851851858
6,87.8037037037037,89.71851851851854,92.24444444444445,92.67777777777778
7,87.65925925925927,89.82592592592593,92.54444444444447,93.05555555555553
8,87.61111111111107,90.0962962962963,92.75555555555555,93.41851851851852
9,87.74814814814812,89.95925925925926,92.92222222222219,93.63703703703705
10,87.5296296296296,90.01851851851853,93.02962962962961,93.87407407407407
11,87.29259259259261,89.97407407407408,93.0777777777778,94.02592592592588
12,87.16666666666669,89.7407407407407,93.05925925925926,94.03703703703704
13,87.20370370370368,89.58148148148146,93.09629629629633,94.18148148148146
14,87.1,89.53703703703702,93.062962962963,94.28148148148146
15,87.14814814814812,89.40740740740738,93.02962962962961,94.34074074074071
16,86.90740740740739,89.18518518518513,93.08148148148148,94.43703703703704
17,86.87037037037038,88.9259259259259,93.07037037037037,94.48888888888887
18,86.92222222222213,88.95925925925921,93.03703703703701,94.50740740740738
