feature,tree,knn,gnb,lda
1,84.87777777777778,84.87777777777778,91.42962962962974,91.46666666666677
2,85.1777777777778,85.25925925925924,91.35555555555565,91.39629629629643
3,85.46296296296292,86.05555555555557,91.2851851851853,91.35555555555567
4,85.4666666666667,86.31481481481484,91.40740740740753,91.50370370370383
5,85.80370370370372,86.51111111111108,91.39629629629643,91.55555555555566
6,85.88148148148147,86.87037037037035,91.48518518518529,91.59629629629643
7,86.3074074074074,87.24814814814816,91.5703703703705,91.65925925925936
8,86.34074074074073,87.49259259259259,91.61851851851863,91.75925925925937
9,86.5185185185185,87.64814814814812,91.70000000000013,91.9148148148149
10,86.56666666666666,87.6925925925926,91.75925925925932,92.11851851851857
11,86.4074074074074,87.73703703703698,91.82222222222228,92.2555555555556
12,86.8592592592592,87.84814814814813,92.00000000000007,92.43333333333338
13,86.41481481481482,88.14814814814812,92.11851851851857,92.71111111111114
14,86.7259259259259,88.47777777777773,92.35555555555558,92.9074074074074
15,86.8037037037037,88.55185185185181,92.44444444444446,93.04074074074072
16,86.70370370370371,88.71851851851848,92.73333333333333,93.57777777777777
17,87.03703703703701,88.70740740740737,92.89259259259259,94.02222222222218
18,86.87037037037038,88.95925925925921,93.03703703703701,94.50740740740738
