feature,tree,knn,gnb,lda
1,85.07777777777781,85.07777777777781,91.46666666666678,91.47407407407418
2,84.62222222222225,84.81111111111113,91.4777777777779,91.48148148148161
3,84.82592592592594,85.34074074074073,91.43333333333345,91.44444444444456
4,85.03703703703704,86.00000000000001,91.4148148148149,91.44814814814826
5,84.95925925925926,86.11111111111107,91.45555555555563,91.48518518518529
6,85.00370370370369,86.2074074074074,91.4148148148149,91.57407407407418
7,85.34814814814817,86.36296296296294,91.38148148148159,91.63333333333347
8,85.75925925925924,86.87037037037035,91.48148148148158,91.74814814814825
9,86.02592592592593,87.12592592592593,91.54074074074086,91.83333333333341
10,86.01851851851852,87.32962962962964,91.60740740740749,92.06666666666673
11,86.1814814814815,87.81111111111109,91.74814814814823,92.2222222222223
12,86.43703703703706,87.91481481481482,91.90370370370375,92.44444444444446
13,86.23333333333332,88.16666666666666,92.08148148148152,92.65555555555557
14,86.45555555555553,88.32592592592594,92.18148148148151,92.9037037037037
15,86.48518518518519,88.6185185185185,92.3740740740741,93.32222222222221
16,86.72222222222221,88.68518518518516,92.56666666666669,93.64444444444443
17,86.74814814814816,88.74074074074068,92.86296296296295,94.08148148148148
18,86.87037037037035,88.95925925925921,93.03703703703701,94.50740740740738
