feature,tree,knn,gnb,lda
1,56.45312500000002,56.45312500000002,62.449652777777786,58.67881944444444
2,61.38194444444443,61.6996527777778,65.11284722222223,66.77256944444443
3,62.11458333333332,62.48958333333332,66.55381944444446,68.39409722222223
4,64.02083333333331,62.48611111111111,66.83333333333333,69.80902777777777
5,64.07812500000004,62.3385416666667,66.68750000000001,70.05034722222223
6,64.57638888888889,62.293402777777764,66.63020833333333,70.31597222222223
7,64.50000000000001,62.17534722222221,66.48784722222223,70.51215277777776
8,64.4201388888889,62.20833333333333,66.42013888888889,70.59895833333331
9,64.4861111111111,62.08680555555557,66.37847222222221,70.69965277777777
10,64.31249999999999,62.07986111111112,66.43229166666666,70.72743055555557
11,64.24131944444441,62.168402777777786,66.29166666666663,70.85069444444446
12,64.13541666666666,62.112847222222214,66.79513888888887,70.89583333333334
13,64.2065972222222,62.06597222222224,67.05902777777781,71.01041666666669
14,64.50868055555557,62.09201388888891,67.20312500000001,71.10763888888887
15,64.32986111111113,61.987847222222214,67.31597222222226,71.09548611111113
16,64.59375000000004,61.99999999999999,66.7673611111111,71.1215277777778
17,64.61805555555553,62.00520833333335,66.20659722222223,71.08506944444449
18,64.63194444444444,62.03125,65.58680555555556,71.08854166666667
19,64.62500000000001,61.88368055555555,64.72048611111111,71.1076388888889
