feature,tree,knn,gnb,lda
1,15.0407,15.0436,12.323599999999997,10.075800000000001
2,21.197399999999995,21.377799999999997,19.831899999999994,17.567100000000003
3,38.6042,40.82970000000002,30.393900000000013,27.33370000000002
4,49.92699999999998,55.555199999999985,36.569599999999994,32.91949999999998
5,59.150699999999986,68.99919999999999,44.10909999999999,39.879400000000004
6,67.25720000000001,80.363,50.76109999999997,46.524699999999996
7,70.35880000000002,86.07929999999993,54.36249999999998,51.907599999999995
8,73.9005,90.42749999999998,58.7042,58.37920000000001
9,74.20470000000002,91.79860000000001,60.123899999999985,60.569700000000005
10,74.78169999999997,93.26129999999999,61.716399999999986,63.474000000000004
11,74.8711,94.10540000000005,63.25680000000003,64.89749999999998
12,75.18410000000004,94.91879999999999,65.237,66.9486
13,75.38770000000001,95.4915,66.381,67.97610000000003
14,75.2259,95.82210000000005,66.9227,69.0715
15,75.24219999999997,96.23890000000002,68.262,69.77110000000002
16,75.2124,94.29909999999997,68.33980000000001,70.10950000000001
