feature,tree,knn,gnb,lda
1,16.430300000000003,16.432700000000004,14.369000000000002,13.316099999999999
2,31.1968,31.772199999999998,24.486699999999992,23.150999999999996
3,50.2563,53.37670000000002,35.378499999999995,33.183
4,62.89719999999999,70.1211,43.20959999999998,42.57599999999999
5,68.53500000000003,79.4716,50.36639999999999,48.312000000000005
6,70.98380000000002,84.02610000000004,54.522000000000006,53.04899999999998
7,72.47660000000003,87.41890000000001,57.21090000000002,57.099800000000016
8,74.64160000000001,91.37700000000001,59.53390000000004,59.395700000000026
9,75.4694,93.23890000000002,61.48909999999997,62.1921
10,75.75170000000001,94.3662,63.22819999999999,64.07910000000001
11,75.68630000000002,95.00420000000007,65.0411,66.10030000000002
12,75.8761,95.59810000000003,66.46770000000002,67.18239999999999
13,75.52009999999999,95.93069999999997,67.1301,68.42029999999998
14,75.4746,95.54400000000005,67.80769999999998,69.13359999999999
15,75.33199999999997,95.09210000000002,68.11900000000001,69.6678
16,75.21309999999997,94.28559999999999,68.33980000000001,70.10950000000001
