feature,tree,knn,gnb,lda
1,99.84814814814816,100.0,100.0,100.0
2,99.84814814814816,100.0,100.0,100.0
3,99.84814814814816,100.0,100.0,100.0
4,99.84814814814816,100.0,100.0,100.0
5,99.84814814814816,100.0,100.0,100.0
6,99.84814814814816,100.0,100.0,100.0
7,99.84814814814816,100.0,100.0,100.0
8,99.84814814814816,100.0,100.0,100.0
9,99.84814814814816,100.0,100.0,100.0
10,99.84814814814816,100.0,100.0,100.0
11,99.84814814814816,100.0,100.0,100.0
12,99.84814814814816,100.0,100.0,100.0
13,99.84814814814816,100.0,100.0,100.0
14,99.84814814814816,100.0,100.0,100.0
15,99.84814814814816,100.0,100.0,100.0
16,99.84814814814816,100.0,100.0,100.0
17,99.84814814814816,100.0,100.0,100.0
18,99.84814814814816,100.0,100.0,100.0
19,99.84814814814816,100.0,100.0,100.0
20,99.84814814814816,100.0,100.0,100.0
21,99.84814814814816,100.0,100.0,100.0
22,99.84814814814816,100.0,100.0,100.0
23,99.84814814814816,100.0,100.0,100.0
24,99.84814814814816,100.0,100.0,100.0
25,99.84814814814816,100.0,100.0,100.0
26,99.84814814814816,100.0,100.0,100.0
27,99.84814814814816,100.0,100.0,100.0
28,99.84814814814816,100.0,100.0,100.0
29,99.84814814814816,100.0,100.0,100.0
30,99.84814814814816,100.0,100.0,100.0
31,99.84814814814816,100.0,100.0,100.0
32,99.84814814814816,100.0,100.0,100.0
33,99.84814814814816,100.0,100.0,100.0
34,99.84814814814816,100.0,100.0,100.0
