feature,tree,knn,gnb,lda
1,20.55740740740743,26.29814814814815,26.046296296296294,20.650000000000006
2,24.94444444444442,38.4574074074074,27.461111111111112,27.379629629629644
3,26.264814814814784,44.76851851851853,29.666666666666657,30.870370370370374
4,28.177777777777752,46.03333333333334,31.831481481481486,33.86481481481482
5,70.92407407407406,71.13703703703703,71.95925925925927,69.68333333333335
6,95.26666666666667,97.14444444444443,85.02962962962961,94.31666666666668
7,98.85370370370369,99.95925925925927,94.32407407407408,99.94444444444446
8,99.53888888888889,99.9962962962963,97.78888888888889,100.0
9,99.59074074074071,100.0,98.59444444444445,100.0
10,99.72222222222223,100.0,99.42962962962963,100.0
11,99.75740740740741,100.0,99.71666666666668,100.0
12,99.7925925925926,99.99814814814816,99.76481481481481,100.0
13,99.75925925925927,99.99814814814816,99.77407407407406,100.0
14,99.81481481481484,100.0,99.86296296296297,100.0
15,99.80925925925926,100.0,99.95185185185184,100.0
16,99.82592592592593,100.0,99.95,100.0
17,99.83333333333334,100.0,99.94259259259259,100.0
18,99.79629629629629,100.0,99.93888888888888,100.0
19,99.85370370370373,100.0,99.97222222222223,100.0
20,99.86481481481484,100.0,99.96851851851852,100.0
21,99.85555555555557,100.0,99.95,100.0
22,99.83333333333336,100.0,99.92962962962963,100.0
23,99.8537037037037,100.0,99.91851851851854,100.0
24,99.7925925925926,100.0,99.90555555555558,99.84814814814814
25,99.84259259259261,100.0,99.89259259259262,99.91481481481482
26,99.85555555555558,100.0,99.87962962962963,99.78148148148148
27,99.82962962962965,100.0,99.87962962962963,100.0
28,99.80740740740742,100.0,99.86111111111113,100.0
29,99.8388888888889,100.0,99.85185185185186,100.0
30,99.83703703703705,100.0,99.84629629629632,99.91851851851852
31,99.82407407407408,100.0,99.84074074074074,99.89814814814814
32,99.79259259259261,100.0,99.83333333333336,99.53148148148148
33,99.83148148148149,100.0,99.82222222222225,97.89629629629627
34,99.83333333333334,100.0,99.81666666666668,94.2407407407407
