feature,tree,knn,gnb,lda
1,85.67719298245612,85.67719298245612,90.77192982456137,86.98947368421051
2,91.2,89.40701754385964,93.67368421052632,93.25614035087719
3,91.93684210526312,89.43508771929822,93.58245614035087,94.32631578947368
4,92.0947368421052,89.56491228070176,93.00350877192983,94.78245614035086
5,91.57894736842101,89.81403508771929,92.87719298245607,94.87017543859652
6,91.64561403508768,89.89824561403508,92.8315789473684,95.01403508771928
7,91.30877192982453,89.97192982456141,92.71228070175435,94.87719298245615
8,91.34385964912282,90.09473684210526,92.62105263157893,95.01754385964912
9,91.3964912280701,90.23157894736842,92.54385964912281,95.09473684210529
10,91.26666666666664,90.27368421052628,92.47719298245613,95.07368421052634
11,90.99298245614033,90.29473684210524,92.23859649122802,95.07017543859656
12,91.04912280701754,90.30175438596488,92.09122807017543,95.04210526315798
13,90.77894736842107,90.37543859649118,91.95438596491228,95.0631578947369
14,90.8421052631579,90.38245614035084,91.89824561403509,95.14035087719303
15,90.61403508771929,90.47017543859646,91.73684210526316,95.09824561403514
16,90.52631578947367,90.5929824561403,91.64912280701756,95.0631578947369
17,90.51578947368418,90.62807017543857,91.43157894736844,95.10877192982456
18,90.41403508771931,90.69473684210521,91.31578947368423,95.1298245614035
19,90.29824561403508,90.76842105263152,91.2877192982456,95.1578947368421
20,90.11929824561403,90.78596491228068,91.16140350877191,95.12280701754383
21,90.24210526315788,90.87017543859645,91.08421052631576,95.12982456140352
22,90.26666666666668,90.87368421052626,91.02105263157891,95.13684210526317
23,90.35438596491227,90.90175438596486,90.88421052631577,95.10175438596491
24,90.12982456140348,90.96842105263153,90.80701754385962,95.07719298245614
25,89.82807017543857,90.98245614035085,90.72982456140343,95.11929824561406
26,89.88421052631577,91.119298245614,90.50175438596489,95.07719298245617
27,89.9894736842105,91.16491228070176,90.34035087719298,95.13684210526318
28,89.97543859649122,91.29473684210527,90.21052631578948,95.19649122807022
29,89.68070175438598,91.37192982456139,90.0280701754386,95.15087719298246
30,89.87719298245618,91.4175438596491,89.7578947368421,95.13684210526317
