feature,tree,knn,gnb,lda
1,58.67368421052632,58.656140350877195,67.51578947368425,64.63157894736844
2,63.20000000000002,62.74385964912279,71.30175438596491,67.4
3,66.03508771929826,64.73333333333335,73.21403508771934,68.70526315789475
4,69.47017543859648,67.64561403508773,75.79999999999997,70.2315789473684
5,71.91578947368421,69.83859649122806,77.39298245614034,72.10877192982453
6,75.61403508771926,73.54035087719296,80.30526315789477,75.11929824561399
7,78.34736842105264,75.8877192982456,81.63508771929826,77.56842105263159
8,79.32631578947371,77.16491228070173,82.43157894736842,79.00701754385967
9,79.57192982456141,77.79649122807014,82.89473684210526,79.47368421052634
10,79.75087719298246,78.16491228070174,83.08771929824559,80.04561403508775
11,80.89122807017544,79.44912280701755,83.79298245614036,80.9122807017544
12,82.68771929824565,82.10877192982456,84.92982456140354,82.46315789473684
13,84.51929824561402,84.0561403508772,85.86315789473683,84.33684210526314
14,85.07719298245614,84.91228070175437,86.31929824561408,85.52982456140346
15,85.1438596491228,84.91228070175437,86.29122807017546,85.56140350877189
16,85.50877192982456,85.9859649122807,86.88070175438594,86.89122807017544
17,85.54736842105265,85.9859649122807,86.89473684210526,86.880701754386
18,87.10877192982454,87.69122807017544,87.87719298245611,89.04912280701753
19,87.89473684210526,88.71578947368421,88.30877192982453,90.14035087719294
20,87.58245614035087,88.71578947368421,88.30526315789471,90.09122807017543
21,87.93333333333331,89.08771929824562,88.55438596491227,90.77192982456137
22,88.14736842105263,89.4140350877193,88.67368421052633,91.21052631578951
23,88.82105263157901,90.16491228070176,89.08421052631584,92.46315789473684
24,88.83859649122807,90.34736842105264,89.12280701754383,92.70526315789475
25,89.60000000000002,90.82807017543858,89.38596491228073,93.77192982456143
26,89.71228070175441,90.9157894736842,89.48771929824562,93.9543859649123
27,89.71578947368421,90.9157894736842,89.48070175438598,93.93684210526321
28,89.70175438596489,91.11228070175439,89.55438596491229,94.4526315789474
29,89.95789473684209,91.4175438596491,89.7578947368421,95.14736842105265
30,89.85614035087718,91.4175438596491,89.7578947368421,95.13684210526317
