feature,tree,knn,gnb,lda
1,85.67719298245612,85.67719298245612,90.77192982456137,86.98947368421051
2,88.29824561403508,88.35438596491225,89.92982456140355,88.00000000000006
3,90.36491228070173,90.27719298245609,90.3333333333333,89.57192982456144
4,91.28070175438602,90.89122807017542,90.99999999999996,91.48070175438596
5,91.41403508771931,91.06315789473683,91.44561403508769,92.24912280701751
6,91.23859649122804,91.09122807017542,91.32631578947365,92.69473684210524
7,90.99999999999994,91.17894736842103,91.33684210526312,93.23508771929826
8,90.91228070175431,91.19298245614033,91.0456140350877,93.44912280701756
9,90.79999999999998,91.21052631578947,90.92280701754382,93.92982456140355
10,90.62105263157893,91.21754385964913,90.76491228070175,94.05263157894734
11,90.67017543859646,91.24210526315788,90.6982456140351,94.18245614035087
12,90.79298245614032,91.24210526315788,90.52631578947364,94.30877192982457
13,90.73684210526315,91.28421052631576,90.5017543859649,94.42105263157895
14,90.57894736842105,91.28421052631579,90.3929824561403,94.46315789473688
15,90.77543859649123,91.28421052631576,90.2912280701754,94.49824561403507
16,90.51578947368418,91.29824561403508,90.21052631578945,94.49473684210525
17,90.38245614035085,91.30877192982454,90.1578947368421,94.48070175438599
18,90.41403508771933,91.29824561403508,90.08070175438596,94.43859649122805
19,90.1298245614035,91.3157894736842,90.01403508771931,94.50175438596489
20,90.19999999999995,91.31228070175437,89.97192982456143,94.55789473684206
21,90.11929824561403,91.31929824561402,89.92982456140354,94.67719298245612
22,90.28070175438597,91.32982456140351,89.9017543859649,94.77543859649124
23,89.89824561403509,91.31578947368422,89.84912280701752,94.77894736842109
24,90.08771929824562,91.31228070175437,89.83859649122809,94.8315789473684
25,89.99999999999996,91.31228070175437,89.83157894736843,94.80350877192984
26,89.81403508771929,91.3333333333333,89.80701754385966,94.90175438596492
27,89.74736842105261,91.4035087719298,89.7859649122807,95.06315789473685
28,90.059649122807,91.4175438596491,89.78596491228069,95.18596491228071
29,89.82807017543858,91.4175438596491,89.78596491228069,95.1824561403509
30,89.9438596491228,91.4175438596491,89.7578947368421,95.13684210526317
