feature,tree,knn,gnb,lda
1,52.53400000000001,52.53480000000001,60.89760000000001,57.12719999999999
2,82.45520000000002,82.73,83.2112,86.35559999999998
3,82.29359999999997,82.32119999999999,83.19959999999999,86.33999999999997
4,82.15360000000001,82.09359999999997,83.16720000000004,86.29000000000002
5,82.088,81.74160000000003,83.14520000000002,86.2912
6,82.07040000000002,81.58639999999997,83.14799999999997,86.27959999999997
7,81.99160000000003,81.31240000000001,83.1268,86.26280000000001
8,81.95959999999995,81.11999999999998,83.0916,86.21679999999995
9,81.97519999999999,80.82919999999999,83.06079999999999,86.17199999999997
10,81.88680000000001,80.50999999999999,83.05320000000003,86.14599999999999
11,81.80199999999998,80.24680000000001,83.03720000000001,86.11760000000002
12,81.86720000000001,80.02880000000003,83.03000000000003,86.0992
13,81.94960000000003,79.836,83.00000000000001,86.1044
14,81.82400000000003,79.6752,82.99199999999999,86.0432
15,81.8676,79.3924,82.96599999999997,85.98959999999994
16,81.762,79.31839999999998,82.98080000000003,85.95239999999998
17,81.77199999999999,79.0896,82.9572,85.92399999999999
18,81.78280000000001,78.83879999999998,82.95640000000004,85.9032
19,81.69919999999998,78.68079999999999,82.93520000000001,85.87199999999997
20,81.69800000000002,78.50879999999998,82.92960000000002,85.8796
21,81.6716,78.39,82.92480000000003,85.854
22,81.61040000000001,78.15880000000001,82.90559999999999,85.81800000000001
23,81.58560000000001,77.9772,82.90280000000003,85.8108
24,81.61119999999997,77.87439999999997,82.89200000000001,85.7908
25,81.63199999999999,77.66640000000001,82.87559999999999,85.76439999999998
26,81.5704,77.5912,82.84760000000004,85.7384
27,81.63119999999998,77.40720000000003,82.86360000000002,85.7248
28,81.6268,77.27280000000002,82.86280000000002,85.67040000000003
29,81.5308,77.19639999999998,82.83600000000003,85.65280000000001
30,81.57479999999998,77.15959999999998,82.82120000000005,85.65280000000001
31,81.46559999999998,77.05559999999997,82.8328,85.6172
32,81.48720000000002,76.918,82.80159999999998,85.53439999999996
33,81.45040000000003,76.8364,82.8188,85.5132
34,81.4824,76.71560000000004,82.77719999999998,85.48000000000003
35,81.5232,76.61360000000002,82.72159999999998,85.4428
36,81.44919999999999,76.52759999999996,82.7168,85.4264
37,81.4916,76.38799999999999,82.70959999999997,85.39120000000001
38,81.46960000000003,76.29359999999998,82.71119999999998,85.35000000000004
39,81.5004,76.11240000000002,82.7016,85.33720000000002
40,81.47400000000002,75.998,82.70879999999995,85.30720000000005
