feature,tree,knn,gnb,lda
1,49.2511229073091,49.25398121682319,46.613311555737006,47.191098407513266
2,50.48101265822788,50.59289505920784,48.57697019191507,48.98938342180482
3,51.73091057574519,50.752552062066144,49.48387096774193,50.22948142098816
4,52.871376071866074,50.811759902000816,50.68517762351982,51.982850142915474
5,53.26663944467129,50.83911800734995,51.05798285014293,52.12127398938342
6,53.7484687627603,50.88321763985304,51.46712944058799,52.27766435279705
7,53.79542670477745,50.91874234381378,51.691710902409135,52.69865251122909
8,53.9575336872193,51.387913434054745,50.54348713760718,52.73091057574522
9,53.9338505512454,51.50632911392404,49.504695794201716,52.74275214373215
10,54.138832176398516,51.65781951817066,48.73172723560638,52.78317680685998
11,54.204573295222524,51.81829318089013,48.293589220089835,52.797060024499814
