feature,tree,knn,gnb,lda
1,7.452235082682191e-15,0.0,7.452235082682191e-15,7.452235082682191e-15
2,7.452235082682191e-15,0.0,7.452235082682191e-15,7.452235082682191e-15
3,7.452235082682191e-15,0.0,7.452235082682191e-15,7.452235082682191e-15
4,7.452235082682191e-15,0.0,7.452235082682191e-15,7.452235082682191e-15
5,7.452235082682191e-15,0.0,7.452235082682191e-15,7.452235082682191e-15
6,7.452235082682191e-15,0.0,7.452235082682191e-15,7.452235082682191e-15
7,7.452235082682191e-15,0.0,7.452235082682191e-15,7.452235082682191e-15
8,7.452235082682191e-15,0.0,7.452235082682191e-15,7.452235082682191e-15
9,7.452235082682191e-15,0.0,7.452235082682191e-15,7.452235082682191e-15
10,7.452235082682191e-15,0.0,7.452235082682191e-15,7.452235082682191e-15
11,7.452235082682191e-15,0.0,7.452235082682191e-15,7.452235082682191e-15
